,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Jude Bellingham,44,Borussia Dortmund,19, M(CLR)  ,30(1),2693,4,1.1,51.2,83.1,0.2,3.7,0.2,7.58,8,8,0,2.2,1.1,6,2.8,2.4,0.1,1.9,2,2.5,1.1,1.3,0,0.9,0.5,0.1,0
1,Joshua Kimmich,37,Bayern,28," D(CR),DMC,M(R)  ",32(1),2815,6,2.6,75.5,89.7,2.2,4.8,0.3,7.47,5,4,1,0.8,0.5,4,0.4,1.5,0,0.8,0.8,2.4,1.2,0.7,0,1.1,1,0.2,0
2,Niclas Füllkrug,42,Werder Bremen,30, FW  ,28,2479,5,1.2,32.3,63.7,0.1,1.5,0,7.38,16,4,0,2.8,5.5,5,1.1,1.7,1,1.8,2.6,0.3,0,1.2,0,0.9,0.4,0.1,0
3,Christopher Nkunku,7614,RBL,25," M(CLR),FW  ",20(5),1899,4,1.6,23.8,81.8,0.2,1.2,0.2,7.35,16,4,0,3,0.7,8,1.5,1.5,0.5,1.5,1.8,0.2,0.3,0.7,0,0.4,0.2,0.1,0
4,Jamal Musiala,37,Bayern,20, M(CL)  ,26(7),2212,10,1.6,30,85.4,0.1,0.5,0.1,7.34,12,1,0,2,0.4,4,2.3,1.3,0,2.1,2.4,1,0.6,0.7,0,0.1,0.7,0.1,0
5,Dominik Szoboszlai,7614,RBL,22, AM(CLR)  ,28(3),2453,8,2.3,45.2,83,1.5,2.5,0.3,7.32,6,3,2,1.9,0.2,4,1.7,1.3,0.1,1.1,1.8,1.5,0.5,0.8,0,0.7,0.8,0.1,0
6,Randal Kolo Muani,45,Eintracht Frankfurt,24," AM(R),FW  ",31(1),2648,11,1.3,19.3,67,0.1,0.4,0.1,7.29,15,4,1,2.4,1.9,10,2.2,2.2,0.7,2,3.4,0.4,0.1,1.6,0,0.4,0.3,0.1,0
7,Julian Brandt,44,Borussia Dortmund,27," M(CLR),FW  ",29(3),2412,8,2.3,37,83.8,1.5,1.8,0.1,7.28,9,2,0,1.3,0.3,3,1.3,0.7,0.2,1.1,1.6,0.9,0.5,0.3,0,0.3,1,0,0
8,Raphaël Guerreiro,44,Borussia Dortmund,29," D(L),M(CL)  ",26(1),2296,12,2.1,56.7,85.1,1.1,1.5,0.1,7.27,4,4,0,1.2,0.2,3,1,0.4,0.1,0.7,1,1.3,1.3,0.3,0.3,0.8,0.5,0.1,0
9,Vincenzo Grifo,50,Freiburg,30, AM(CL)  ,30(3),2427,5,1.7,35.7,78.8,1,2.3,0.2,7.26,15,2,0,2,0.5,5,1.3,0.9,0.2,0.8,1.3,0.9,0.6,0.2,0,0.4,0.5,0,0
10,Jonas Hofmann,134,Borussia M.Gladbach,30," D(R),M(CLR)  ",30(1),2693,9,3.2,41.8,80.9,2.4,1.5,0.3,7.25,12,2,0,1.5,0.4,7,0.5,1.3,0.7,1.1,1.4,1,0.5,0.5,0,0.4,1.2,0.1,0
11,Sébastien Haller,44,Borussia Dortmund,29, FW  ,15(4),1232,3,0.8,16.1,70.5,0,0.2,0,7.21,9,1,0,1.8,2.2,1,0.5,0.7,0.2,0.8,0.9,0.3,0.1,0.7,0,0.5,0.2,0,0
12,Donyell Malen,44,Borussia Dortmund,24," AM(LR),FW  ",22(4),1724,5,1.1,21,80.4,0.7,0.5,0,7.20,9,0,0,2.5,0.2,3,2,1.5,0.1,1.5,1.5,0.5,0.2,0.5,0,0.3,0.3,0,0
