,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Antoine Griezmann,63,Atletico,32," AM(CLR),FW  ",31(7),2863,16,2.2,38.3,82.4,0.8,1.8,0.2,7.69,15,2,0,2.9,0.7,13,1.2,1.1,0.3,0.9,1.1,1.3,0.6,0.6,0,0.8,1.2,0.1,0
1,Karim Benzema,52,Real Madrid,35, FW  ,24,2044,3,2,44,87,0,0.6,0.3,7.53,19,1,0,4.5,0.6,6,0.8,0.3,0.9,1.2,1.3,0.4,0.1,0.4,0,0.2,0.4,0,0
2,Robert Lewandowski,65,Barcelona,34, FW  ,33(1),2852,7,1.1,22.4,78.1,0.2,0.7,0.2,7.49,23,2,1,4,1.5,7,0.9,1.4,0.6,1.5,2.8,0.5,0.1,1.1,0.1,0.4,0.2,0,0
3,Vinícius Júnior,52,Real Madrid,22," AM(L),FW  ",32(1),2833,9,1.9,32.1,80.6,0.2,0.9,0.1,7.35,10,10,1,2.3,0.1,4,3.4,3.7,0.7,1.8,3.1,0.9,0.2,1.4,0,0,0.8,0,0
4,Rodrygo,52,Real Madrid,22," AM(CLR),FW  ",25(9),2382,8,1.4,29.7,89.6,0.2,0.5,0,7.26,9,4,0,2.9,0.4,4,2.4,1.4,0.3,0.9,1.9,0.5,0.2,0.5,0,0.1,0.6,0,0
5,Pedri,65,Barcelona,20, AM(CL)  ,22(4),1983,1,1.7,54.1,87.6,0.3,4.3,0.4,7.20,6,2,0,0.8,0.1,4,1.4,1.7,0.2,1.2,1.2,1.5,0.5,0.3,0,0.3,1.2,0,0
6,Joselu,70,Espanyol,33, FW  ,33(1),2989,2,0.6,21.7,61,0.2,0.4,0,7.15,16,3,0,2.7,5.1,5,0.5,2.1,0.8,1.3,2.5,0.4,0.2,0.7,0,1.2,0.4,0.1,0
7,Frenkie de Jong,65,Barcelona,26," D(C),DMC  ",29(4),2539,4,1.4,68.4,91.4,0.3,3,0.4,7.15,2,3,0,0.5,1,4,1.1,1,0,0.7,0.7,1.4,1.1,1,0.1,0.6,0.7,0,0
8,Ousmane Dembélé,65,Barcelona,26," AM(CLR),FW  ",16(9),1416,7,1.6,29.4,83.4,0.9,0.9,0.2,7.14,5,4,0,2,0.2,3,2.1,0.8,0.2,0.7,1.1,0.8,0,0.6,0,0,0.4,0,0
9,Mikel Merino,68,Real Sociedad,27, M(C)  ,28(5),2500,9,1.3,44.3,77.6,0.2,2,0.2,7.13,2,6,1,1.3,3.4,7,0.7,1.5,0.1,1.1,1.5,2.3,0.6,2.2,0,1.5,0.9,0.2,0
10,Lee Kang-In,51,Mallorca,22," AM(CLR),FW  ",33(3),2841,6,1.5,24.4,80.3,1.6,0.9,0.1,7.09,6,10,0,1.3,0.6,6,2.5,1.7,0.1,1.2,1.9,1.2,0.3,1.4,0,0.1,1.2,0.1,0
11,Federico Valverde,52,Real Madrid,24, M(CLR)  ,29(5),2509,4,1.3,46.8,88.4,0.2,1.7,0,7.08,7,2,0,1.9,0.9,4,0.9,0.4,0.1,0.2,0.6,0.9,0.5,0.3,0,0.4,0.4,0.1,0
12,Sergi Darder,70,Espanyol,29, M(CL)  ,38,3325,3,1.9,37.5,78.5,1.3,2.5,0.1,7.08,6,4,0,1,0.3,5,1.8,2.1,0.1,0.7,1.1,1.8,0.6,0.8,0,0.6,1.2,0.1,0
13,Enes Ünal,819,Getafe,26, FW  ,35,2986,3,0.8,20.7,60.9,0.1,0.2,0.1,7.07,14,6,0,2.5,4.6,5,0.6,2.2,0.8,1.4,2.5,0.7,0.2,1.7,0.1,1,0.5,0.1,0
