,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Lionel Messi,304,PSG,36," AM(CR),FW  ",32,2842,16,2.9,60.3,83.1,1.1,2.7,1.2,8.28,16,0,0,4,0,14,3.2,1.1,0.2,2.4,1.6,0.8,0.1,0.3,0,0,0.5,0,0
1,Kylian Mbappé,304,PSG,24," AM(LR),FW  ",32(2),2822,5,1.6,37.9,82.9,0.4,0.6,0.2,7.80,29,6,0,4.4,0.2,7,2.2,1.2,1,1.2,1.9,0.3,0.1,0.6,0,0.1,0.3,0,0
2,Neymar,304,PSG,31," AM(CLR),FW  ",18(2),1553,11,2.5,59.4,82.7,0.9,2.2,0.5,7.71,13,4,1,1.9,0.1,3,1.9,3.3,0.3,1.9,2.5,1.1,0.2,1.3,0,0.1,0.5,0.1,0
3,Alexandre Lacazette,228,Lyon,32," M(CLR),FW  ",34(1),2938,5,1.4,24.9,75.5,0.1,0.8,0.1,7.42,27,3,0,3.3,0.8,5,1.1,1.6,0.4,1.3,1.9,1.2,0.4,1.8,0,0.1,0.5,0.1,0
4,Rémy Cabella,607,Lille,33," M(CLR),FW  ",28(4),2535,10,3.2,49.1,84.3,1.6,0.9,0.2,7.38,7,3,0,1.3,0.3,5,1.3,1.4,0.1,1.1,1.5,2,0.5,0.8,0,0.2,1.1,0.2,0
5,Téji Savanier,311,Montpellier,31, M(C)  ,30,2557,4,1.9,47.3,77.9,1.7,4.9,0.1,7.28,12,4,3,2.1,0.4,7,2.4,3.2,0,1.7,2.4,1.5,1,1.9,0,0.4,1.6,0.1,0
6,Enzo Le Fée,146,Lorient,23, M(CLR)  ,35,3039,5,1.9,56.1,84.7,0.9,3,0.1,7.26,5,5,0,1.3,0.3,5,1.9,1.8,0.1,1.6,2.1,3.1,1,1.2,0,0.9,2,0.1,0
7,Jonathan David,607,Lille,23," AM(C),FW  ",36(1),3179,4,1.4,23.2,82.7,0.1,0.4,0.1,7.18,24,6,0,2.9,0.4,5,0.8,1.6,0.6,1.4,2.4,0.6,0.2,1.1,0,0.3,0.5,0.1,0
8,Benjamin André,607,Lille,32," D(R),M(CLR)  ",33(1),2919,1,0.6,67.6,84.3,0,5.2,0.1,7.16,1,12,0,0.7,2.7,3,0.6,1.1,0,1,1.1,3.8,1.4,1.7,0.1,1.6,1.6,0.2,0
9,Benjamin Lecomte,311,Montpellier,32, GK  ,19,1710,0,0.1,29.9,60,0,7.5,0,7.15,0,0,0,0,0.3,1,0.1,0,0,0,0,0,0,0,0,0.8,0.1,0,0
