,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Kevin De Bruyne,167,Man City,31," M(CLR),FW  ",28(4),2425,16,3.1,42.4,80.8,2,2.5,0.5,7.58,7,1,0,2,0.4,9,1,0.9,0.2,0.9,1.3,0.9,0.3,0.6,0,0.3,0.8,0.1,0
1,Erling Haaland,167,Man City,22, FW  ,33(2),2779,8,0.9,13.7,74.8,0,0.1,0.1,7.54,36,5,0,3.5,1.4,6,0.3,0.7,0.2,0.7,1.5,0.1,0.1,0.9,0,0.4,0.1,0.1,0
2,Harry Kane,30,Tottenham,29," AM(C),FW  ",38,3408,3,1.5,22.4,72,0.2,1.9,0.3,7.51,30,6,0,3.4,1.7,8,1.1,1.5,0.4,1.5,1.9,0.4,0.1,0.8,0.1,0.5,0.4,0.2,0
3,Bruno Fernandes,32,Man Utd,28, M(CLR)  ,37,3320,8,3.2,50.1,77.7,0.9,3.1,0.6,7.44,8,6,0,2.5,0.5,6,0.9,1.1,0.4,1.1,1.1,1.8,0.7,1.1,0,1,1.1,0.1,0
4,Gabriel Jesus,13,Arsenal,26," AM(LR),FW  ",24(2),2075,6,1.2,25.9,81.5,0.1,0.6,0.1,7.42,11,6,0,3,1.7,4,1.7,2.2,0.6,2.5,3.4,1.3,0.4,1.7,0,0.5,0.7,0.1,0
5,Kieran Trippier,23,Newcastle,32," D(LR),M(R)  ",38,3348,7,2.9,54.3,76,3.6,3.9,0.2,7.41,1,5,0,0.4,1.3,8,0.5,0.8,0.2,0.2,0.7,1.9,1.1,1.3,0.3,2,1.2,0.4,1
6,Bukayo Saka,13,Arsenal,21," D(L),M(CLR)  ",37(1),3195,11,2,32.5,80.9,1,0.9,0,7.40,14,6,0,2.3,0.4,4,1.7,1.7,0.2,1.6,2.1,1.7,0.4,1.1,0.1,0.4,0.6,0,0
7,Solly March,211,Brighton,28, M(CLR)  ,31(2),2728,7,2,33.4,78.6,1.1,2.1,0.1,7.38,7,2,0,2.2,0.9,6,1.8,1.2,0.4,1,1.7,1.6,0.7,1.4,0.1,0.9,0.6,0.1,0
8,Jack Grealish,167,Man City,27," AM(CL),FW  ",23(5),2064,7,1.8,35.3,87.6,0.4,0.8,0.1,7.33,5,4,0,1.5,0.5,3,1.6,2.8,0.1,1,1.3,0.9,0.3,1,0,0.3,0.3,0.1,0
9,Martin Ødegaard,13,Arsenal,24, AM(CR)  ,37,3149,7,2.1,45.6,84,0.5,1.5,0.3,7.29,15,4,0,2.5,0.4,7,1.3,0.7,0,1.2,1.1,1,0.2,0.8,0,0.3,0.9,0.1,0
10,Rodri,167,Man City,27," D(C),DMC  ",34(2),2921,6,0.9,82.7,91.3,0.1,4.8,0.1,7.26,2,5,0,1.4,2,3,0.7,0.6,0.1,0.5,0.6,1.9,0.9,1.3,0,1.2,0.7,0.4,0
11,Gabriel Martinelli,13,Arsenal,22," AM(L),FW  ",34(2),2806,5,1.6,27.1,82.4,0.5,1,0.1,7.25,15,3,0,2.2,0.4,4,1.7,1,0.2,1.6,2.3,0.9,0.3,1.1,0,0.3,0.4,0,0
12,Ivan Toney,189,Brentford,27, FW  ,33,2955,4,0.8,22.3,62,0.2,0.4,0.2,7.25,20,9,0,2.8,3.3,5,0.5,2.2,0.8,1.4,3,0.7,0.4,1.6,0,1.1,0.5,0.3,0
13,Joelinton,23,Newcastle,26," AM(CLR),FW  ",30(2),2664,1,0.8,38.4,82.3,0.1,1.1,0,7.24,6,12,0,1.6,2.1,3,1.7,1.1,0,1.6,2.3,2.2,1.5,2,0.1,1.2,1.1,0.2,0
14,James Maddison,14,Leicester,26, AM(CLR)  ,28(2),2486,9,2.3,33.8,79.5,1.2,1.7,0.2,7.24,10,10,0,2.8,0.1,3,1.5,2.6,0.2,1,1.5,1.7,0.4,1,0,0.1,1,0,0
