,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Victor Osimhen,276,Napoli,24, FW  ,30(2),2583,4,1.1,11.6,71,0.1,0.3,0,7.45,26,4,0,4.2,2.1,5,0.8,1.2,1,1.5,3,0.3,0.2,1.3,0,0.9,0.2,0,0
1,Khvicha Kvaratskhelia,276,Napoli,22, AM(CLR)  ,30(4),2541,10,1.6,30.5,83.7,0.4,1.3,0.2,7.43,12,1,0,2.5,0.2,7,2.2,1.3,0.2,1.4,1.9,1.3,0.1,0.6,0,0.2,0.8,0,0
2,Sergej Milinkovic-Savic,77,Lazio,28, AM(C)  ,34(2),3030,8,1.2,52.2,77.1,0.1,2.2,0.2,7.24,9,10,0,1.8,2.7,6,1.1,2,0.1,1.8,2.9,1.6,0.8,1.3,0,1.3,1.2,0.3,0
3,Paulo Dybala,84,Roma,29," AM(CR),FW  ",22(4),1752,6,2,28.4,82.3,1.3,2.2,0.1,7.20,12,5,0,2.5,0.2,6,1,2.2,0.2,1.2,2.4,0.5,0.3,0.4,0,0.1,0.7,0,0
4,Rafael Leão,80,AC Milan,24," AM(CL),FW  ",28(7),2434,8,1.4,21.2,74.4,0.5,1.3,0.1,7.19,15,5,1,2.6,0.8,8,2.2,0.9,0.3,1.1,2,0.2,0.4,0.6,0,0.2,0.2,0.1,0
5,Lautaro Martínez,75,Inter,25, FW  ,27(11),2577,6,1.2,17.3,75.6,0,0.6,0.1,7.18,21,3,0,3.3,1.1,8,0.8,1.7,0.3,1.3,2,0.7,0.3,1.2,0,0.4,0.4,0,0
6,Mattia Zaccagni,77,Lazio,28," AM(CL),FW  ",33(2),2783,6,1,27.9,84.5,0.2,0.4,0,7.16,10,9,0,1.6,0.4,5,1.7,3.3,0.1,1,1.4,1.2,0.6,1.5,0,0.2,0.7,0.1,0
7,Domenico Berardi,2889,Sassuolo,28," AM(R),FW  ",22(4),1872,7,1.7,31.2,71.1,1,3.1,0.1,7.15,12,7,0,3.2,0.5,6,0.8,1.9,0.3,0.9,2.3,0.9,0.7,1.3,0,0.6,1.2,0,0
8,Armand Laurienté,2889,Sassuolo,24," AM(LR),FW  ",27(1),2191,6,2.2,24.6,79.2,0.7,0.5,0.1,7.11,7,8,1,2,0,4,2.3,1.5,0.3,1.9,2,0.8,0.4,0.8,0,0.1,0.5,0,0
9,Adrien Rabiot,87,Juventus,28," DMC,M(L)  ",31(1),2751,4,1,35.5,83.6,0.2,1.5,0.1,7.11,8,9,0,1.5,1.6,3,0.8,1.3,0.1,1.1,1.8,2,0.8,1.4,0,1.2,0.8,0.2,0
10,Teun Koopmeiners,300,Atalanta,25," D(C),M(C)  ",32(1),2861,4,1.8,46.5,78.1,1.5,2.8,0.1,7.11,10,7,0,1.8,1.2,2,0.9,0.8,0.2,1,1.5,1.4,0.6,1.5,0.1,1,0.8,0.2,0
11,Felipe Anderson,77,Lazio,30," M(CLR),FW  ",35(3),2969,2,1.2,35.1,79.8,0.2,0.8,0,7.09,9,3,0,1.1,0.4,4,1.4,0.9,0.2,1.2,2.2,2.1,0.8,1.1,0,0.6,1.4,0.2,0
12,Lorenzo Pellegrini,84,Roma,27, M(CL)  ,29(3),2558,5,2.2,29.5,80.1,1.7,1.6,0.1,7.09,4,5,0,2,0.4,5,1,1.8,0.2,1.1,1.7,1.6,0.8,0.8,0,0.6,0.8,0.1,0
13,Mário Rui,276,Napoli,32," D(L),M(L)  ",21(1),1763,6,2.1,65,84.2,1.6,5.1,0.1,7.09,0,2,1,0.5,0.6,2,0.4,1.4,0,0.3,0.5,1.5,0.7,0.9,0.1,0.8,1,0.2,0
14,Lucas Martínez,73,Fiorentina,27, D(C)  ,25(2),2173,1,0.3,55.9,81.9,0.1,6.3,0,7.08,1,6,0,1,2.8,5,0.4,0.9,0,0.2,0.4,3,1.8,0.8,0.5,2.8,0.7,0.7,0
15,Hakan Çalhanoglu,75,Inter,29," M(CLR),FW  ",28(5),2375,6,2.1,45.4,88.3,2.1,3,0.1,7.07,3,3,0,1.7,0.4,1,0.2,0.8,0.1,0.4,1,1.5,0.8,1.4,0,0.2,0.8,0.2,0
16,Kim Min-Jae,276,Napoli,26, D(C)  ,35,3055,2,0.3,80,91,0.1,3.4,0,7.07,2,5,0,0.2,2.6,1,0.1,0.2,0,0.2,0.4,1.6,1.2,0.9,0.6,3.5,0.1,0.7,0
