,home_shot,away_shot,home_possession,away_possession,home_pass_success,away_pass_success,home_dribbles,away_dribbles,home_aerials_won,away_aerials_won,home_tackles,away_tackles,home_corners,away_corners,home_dispossessed,away_dispossessed,home_missing_player,away_missing_player,home_missing_player_rating,away_missing_player_rating,home,away,half_home_score,half_away_score,full_home_score,full_away_score,kick_off,date,matchup_home_goals,matchup_away_goals,matchup_home_wins,matchup_draw,matchup_away_wins,home_total_att,away_total_att,home_open_att,away_open_att,home_set_att,away_set_att,home_counter_att,away_counter_att,home_pk_att,away_pk_att,home_own_att,away_own_att,home_total_passes,away_total_passes,home_crosses_passes,away_crosses_passes,home_long_balls,away_long_balls,home_short_passes,away_short_passes
0,21,5,73.5,26.5,85,64,9,5,23,27,12,12,14,2,8,8,3,3,6.13,6.49,Brighton,Sheffield United,0 , 0,1 , 1,12:00,"Jpl, 20-Des-20",5,8,Won (17%),Drew (33%),Won (50%),21,5,13,2,8,2,0,1,0,0,0,0,591,215,37,9,57,51,497,155
1,11,6,54.8,45.2,86,79,14,6,21,19,21,14,9,2,6,11,3,3,6.67,6.87,Wolverhampton Wanderers,Tottenham,0 , 1,1 , 1,19:15,"Jpl, 27-Des-20",10,11,Won (33%),Drew (17%),Won (50%),11,6,8,2,3,3,0,1,0,0,0,0,579,476,30,7,62,51,486,417
2,13,9,69.2,30.8,80,60,8,10,16,21,18,16,7,5,8,11,8,4,6.58,6.9,Leeds,Aston Villa,0 , 1,0 , 1,17:30,"Jmos, 27-Feb-21",9,6,Won (33%),Drew (50%),Won (17%),13,9,9,3,4,4,0,2,0,0,0,0,547,243,27,11,66,73,454,159
3,14,10,47.1,52.9,85,88,6,10,12,9,9,14,6,2,6,7,3,3,6.53,6.65,Wolverhampton Wanderers,Fulham,0 , 0,1 , 0,14:00,"Jpl, 04-Okt-20",11,8,Won (50%),Drew (33%),Won (17%),14,10,8,3,4,6,2,1,0,0,0,0,500,561,18,28,53,59,429,474
4,17,4,72.7,27.3,86,64,8,3,17,11,19,10,7,3,7,9,4,1,6.67,6.21,Leicester,West Bromwich Albion,3 , 0,3 , 0,20:00,"Alh, 22-Apr-21",11,5,Won (67%),Drew (17%),Won (17%),17,4,13,2,3,2,1,0,0,0,0,0,721,270,10,10,48,57,662,203
5,15,15,52.4,47.6,82,81,13,18,19,24,14,13,6,5,9,4,2,0,6.78,,Tottenham,Fulham,1 , 0,1 , 1,20:15,"Jtan, 13-Jan-21",13,5,Won (83%),Drew (0%),Won (17%),15,15,9,9,5,5,1,1,0,0,0,0,545,496,21,20,56,60,468,416
6,6,13,47.2,52.8,77,81,2,2,21,15,10,8,7,1,6,5,6,5,6.58,6.39,Newcastle United,Brighton,0 , 2,0 , 3,14:00,"Jpl, 20-Sep-20",1,3,Won (0%),Drew (67%),Won (33%),6,13,4,10,2,1,0,1,0,1,0,0,412,462,20,9,63,82,329,371
7,16,8,47.4,52.6,72,75,15,16,24,16,22,13,2,5,8,11,5,8,6.72,6.62,Leicester,Southampton,1 , 0,2 , 0,20:00,"Jmos, 16-Jan-21",13,5,Won (50%),Drew (17%),Won (33%),16,8,13,7,1,1,2,0,0,0,0,0,470,518,15,17,59,64,396,435
8,12,23,52.1,47.9,83,82,10,22,6,13,27,11,7,10,5,15,5,5,6.78,7.08,Leeds,Manchester City,0 , 1,1 , 1,17:30,"Jmos, 03-Okt-20",11,8,Won (50%),Drew (17%),Won (33%),12,23,11,19,1,4,0,0,0,0,0,0,451,416,14,20,58,29,379,367
9,23,9,54.1,45.9,79,75,9,6,13,18,15,17,5,7,10,7,4,8,6.66,6.47,Leeds,Sheffield United,1 , 1,2 , 1,15:00,"Jmos, 03-Apr-21",4,7,Won (33%),Drew (0%),Won (67%),24,9,17,6,4,3,2,0,0,0,1,0,513,435,16,18,52,54,445,363
