,0
0,https://1xbet.whoscored.com/Matches/1485314/Live/England-Premier-League-2020-2021-Brighton-Sheffield-United
1,https://1xbet.whoscored.com/Matches/1485449/Live/England-Premier-League-2020-2021-Wolverhampton-Wanderers-Tottenham
2,https://1xbet.whoscored.com/Matches/1485346/Live/England-Premier-League-2020-2021-Leeds-Aston-Villa
3,https://1xbet.whoscored.com/Matches/1485223/Live/England-Premier-League-2020-2021-Wolverhampton-Wanderers-Fulham
4,https://1xbet.whoscored.com/Matches/1485528/Live/England-Premier-League-2020-2021-Leicester-West-Bromwich-Albion
5,https://1xbet.whoscored.com/Matches/1485465/Live/England-Premier-League-2020-2021-Tottenham-Fulham
6,https://1xbet.whoscored.com/Matches/1485201/Live/England-Premier-League-2020-2021-Newcastle-United-Brighton
7,https://1xbet.whoscored.com/Matches/1485380/Live/England-Premier-League-2020-2021-Leicester-Southampton
8,https://1xbet.whoscored.com/Matches/1485218/Live/England-Premier-League-2020-2021-Leeds-Manchester-City
9,https://1xbet.whoscored.com/Matches/1485486/Live/England-Premier-League-2020-2021-Leeds-Sheffield-United
10,https://1xbet.whoscored.com/Matches/1485357/Live/England-Premier-League-2020-2021-Manchester-United-Southampton
11,https://1xbet.whoscored.com/Matches/1485214/Live/England-Premier-League-2020-2021-Arsenal-Sheffield-United
12,https://1xbet.whoscored.com/Matches/1485539/Live/England-Premier-League-2020-2021-Everton-Wolverhampton-Wanderers
13,https://1xbet.whoscored.com/Matches/1485511/Live/England-Premier-League-2020-2021-Brighton-West-Ham
14,https://1xbet.whoscored.com/Matches/1485427/Live/England-Premier-League-2020-2021-Brighton-Newcastle-United
15,https://1xbet.whoscored.com/Matches/1485234/Live/England-Premier-League-2020-2021-Arsenal-Leicester
16,https://1xbet.whoscored.com/Matches/1485447/Live/England-Premier-League-2020-2021-Sheffield-United-Everton
17,https://1xbet.whoscored.com/Matches/1485219/Live/England-Premier-League-2020-2021-Leicester-West-Ham
18,https://1xbet.whoscored.com/Matches/1485479/Live/England-Premier-League-2020-2021-Everton-Aston-Villa
19,https://1xbet.whoscored.com/Matches/1485439/Live/England-Premier-League-2020-2021-Liverpool-Chelsea
20,https://1xbet.whoscored.com/Matches/1485385/Live/England-Premier-League-2020-2021-Sheffield-United-Southampton
21,https://1xbet.whoscored.com/Matches/1485395/Live/England-Premier-League-2020-2021-Wolverhampton-Wanderers-West-Bromwich-Albion
22,https://1xbet.whoscored.com/Matches/1485413/Live/England-Premier-League-2020-2021-Chelsea-Wolverhampton-Wanderers
23,https://1xbet.whoscored.com/Matches/1485437/Live/England-Premier-League-2020-2021-Crystal-Palace-Wolverhampton-Wanderers
24,https://1xbet.whoscored.com/Matches/1485452/Live/England-Premier-League-2020-2021-Burnley-Sheffield-United
25,https://1xbet.whoscored.com/Matches/1485359/Live/England-Premier-League-2020-2021-Wolverhampton-Wanderers-Everton
26,https://1xbet.whoscored.com/Matches/1485313/Live/England-Premier-League-2020-2021-Manchester-City-West-Bromwich-Albion
27,https://1xbet.whoscored.com/Matches/1485258/Live/England-Premier-League-2020-2021-Brighton-Southampton
28,https://1xbet.whoscored.com/Matches/1485284/Live/England-Premier-League-2020-2021-Leeds-West-Ham
29,https://1xbet.whoscored.com/Matches/1485513/Live/England-Premier-League-2020-2021-Burnley-Leeds
30,https://1xbet.whoscored.com/Matches/1485376/Live/England-Premier-League-2020-2021-Chelsea-Everton
31,https://1xbet.whoscored.com/Matches/1485466/Live/England-Premier-League-2020-2021-West-Bromwich-Albion-Leeds
32,https://1xbet.whoscored.com/Matches/1485237/Live/England-Premier-League-2020-2021-Burnley-Tottenham
33,https://1xbet.whoscored.com/Matches/1485247/Live/England-Premier-League-2020-2021-West-Ham-Manchester-City
34,https://1xbet.whoscored.com/Matches/1485316/Live/England-Premier-League-2020-2021-Chelsea-West-Ham
35,https://1xbet.whoscored.com/Matches/1485478/Live/England-Premier-League-2020-2021-Arsenal-Liverpool
36,https://1xbet.whoscored.com/Matches/1485406/Live/England-Premier-League-2020-2021-Fulham-Manchester-City
37,https://1xbet.whoscored.com/Matches/1485523/Live/England-Premier-League-2020-2021-Newcastle-United-Manchester-City
38,https://1xbet.whoscored.com/Matches/1485508/Live/England-Premier-League-2020-2021-Manchester-City-Leeds
39,https://1xbet.whoscored.com/Matches/1485319/Live/England-Premier-League-2020-2021-Manchester-United-Leeds
40,https://1xbet.whoscored.com/Matches/1485278/Live/England-Premier-League-2020-2021-Crystal-Palace-Tottenham
41,https://1xbet.whoscored.com/Matches/1485515/Live/England-Premier-League-2020-2021-Everton-Sheffield-United
42,https://1xbet.whoscored.com/Matches/1485435/Live/England-Premier-League-2020-2021-Brighton-Crystal-Palace
43,https://1xbet.whoscored.com/Matches/1485428/Live/England-Premier-League-2020-2021-Arsenal-Manchester-United
44,https://1xbet.whoscored.com/Matches/1485377/Live/England-Premier-League-2020-2021-Leeds-Brighton
45,https://1xbet.whoscored.com/Matches/1485482/Live/England-Premier-League-2020-2021-Chelsea-West-Bromwich-Albion
46,https://1xbet.whoscored.com/Matches/1485354/Live/England-Premier-League-2020-2021-Wolverhampton-Wanderers-Arsenal
47,https://1xbet.whoscored.com/Matches/1485342/Live/England-Premier-League-2020-2021-Burnley-Manchester-City
48,https://1xbet.whoscored.com/Matches/1485541/Live/England-Premier-League-2020-2021-Manchester-United-Fulham
49,https://1xbet.whoscored.com/Matches/1485277/Live/England-Premier-League-2020-2021-Crystal-Palace-Leeds
50,https://1xbet.whoscored.com/Matches/1485463/Live/England-Premier-League-2020-2021-Leeds-Burnley
51,https://1xbet.whoscored.com/Matches/1485363/Live/England-Premier-League-2020-2021-Tottenham-Chelsea
52,https://1xbet.whoscored.com/Matches/1485317/Live/England-Premier-League-2020-2021-Crystal-Palace-Liverpool
53,https://1xbet.whoscored.com/Matches/1485305/Live/England-Premier-League-2020-2021-Sheffield-United-West-Ham
54,https://1xbet.whoscored.com/Matches/1485199/Live/England-Premier-League-2020-2021-Leicester-Burnley
55,https://1xbet.whoscored.com/Matches/1485349/Live/England-Premier-League-2020-2021-Leicester-Arsenal
56,https://1xbet.whoscored.com/Matches/1485293/Live/England-Premier-League-2020-2021-Burnley-Crystal-Palace
57,https://1xbet.whoscored.com/Matches/1485402/Live/England-Premier-League-2020-2021-Brighton-Aston-Villa
58,https://1xbet.whoscored.com/Matches/1485475/Live/England-Premier-League-2020-2021-Chelsea-Fulham
59,https://1xbet.whoscored.com/Matches/1485500/Live/England-Premier-League-2020-2021-Burnley-Newcastle-United
60,https://1xbet.whoscored.com/Matches/1485469/Live/England-Premier-League-2020-2021-Chelsea-Manchester-City
61,https://1xbet.whoscored.com/Matches/1485503/Live/England-Premier-League-2020-2021-Manchester-City-Chelsea
62,https://1xbet.whoscored.com/Matches/1485204/Live/England-Premier-League-2020-2021-Brighton-Manchester-United
63,https://1xbet.whoscored.com/Matches/1485432/Live/England-Premier-League-2020-2021-Aston-Villa-Leicester
64,https://1xbet.whoscored.com/Matches/1485329/Live/England-Premier-League-2020-2021-Southampton-Liverpool
65,https://1xbet.whoscored.com/Matches/1485312/Live/England-Premier-League-2020-2021-Liverpool-Tottenham
66,https://1xbet.whoscored.com/Matches/1485323/Live/England-Premier-League-2020-2021-Manchester-United-Aston-Villa
67,https://1xbet.whoscored.com/Matches/1485414/Live/England-Premier-League-2020-2021-Leicester-Liverpool
68,https://1xbet.whoscored.com/Matches/1485408/Live/England-Premier-League-2020-2021-Crystal-Palace-Burnley
69,https://1xbet.whoscored.com/Matches/1485507/Live/England-Premier-League-2020-2021-West-Ham-Everton
70,https://1xbet.whoscored.com/Matches/1485299/Live/England-Premier-League-2020-2021-Liverpool-Leicester
71,https://1xbet.whoscored.com/Matches/1485558/Live/England-Premier-League-2020-2021-Leicester-Tottenham
72,https://1xbet.whoscored.com/Matches/1485222/Live/England-Premier-League-2020-2021-Southampton-West-Bromwich-Albion
73,https://1xbet.whoscored.com/Matches/1485372/Live/England-Premier-League-2020-2021-Burnley-Brighton
74,https://1xbet.whoscored.com/Matches/1485543/Live/England-Premier-League-2020-2021-Newcastle-United-Sheffield-United
75,https://1xbet.whoscored.com/Matches/1485367/Live/England-Premier-League-2020-2021-Aston-Villa-Wolverhampton-Wanderers
76,https://1xbet.whoscored.com/Matches/1485490/Live/England-Premier-League-2020-2021-Manchester-United-Brighton
77,https://1xbet.whoscored.com/Matches/1485525/Live/England-Premier-League-2020-2021-Southampton-Fulham
78,https://1xbet.whoscored.com/Matches/1485526/Live/England-Premier-League-2020-2021-Leeds-Liverpool
79,https://1xbet.whoscored.com/Matches/1485509/Live/England-Premier-League-2020-2021-Wolverhampton-Wanderers-Brighton
80,https://1xbet.whoscored.com/Matches/1485521/Live/England-Premier-League-2020-2021-Chelsea-Arsenal
81,https://1xbet.whoscored.com/Matches/1485300/Live/England-Premier-League-2020-2021-Fulham-Brighton
82,https://1xbet.whoscored.com/Matches/1485548/Live/England-Premier-League-2020-2021-Liverpool-Newcastle-United
