,home_shot,away_shot,home_possession,away_possession,home_pass_success,away_pass_success,home_dribbles,away_dribbles,home_aerials_won,away_aerials_won,home_tackles,away_tackles,home_corners,away_corners,home_dispossessed,away_dispossessed,home_missing_player,away_missing_player,home_missing_player_rating,away_missing_player_rating,home,away,half_home_score,half_away_score,full_home_score,full_away_score,kick_off,date,matchup_home_goals,matchup_away_goals,matchup_home_wins,matchup_draw,matchup_away_wins,home_total_att,away_total_att,home_open_att,away_open_att,home_set_att,away_set_att,home_counter_att,away_counter_att,home_pk_att,away_pk_att,home_own_att,away_own_att,home_total_passes,away_total_passes,home_crosses_passes,away_crosses_passes,home_long_balls,away_long_balls,home_short_passes,away_short_passes
0,19,10,47.8,52.2,66,71,9,7,27,31,13,15,10,3,13,7,2,2,6.37,6.18,Newcastle,Burnley,1 , 0,1 , 0,15:00,"Jmos, 04-Des-21",7,3,Won (50%),Drew (17%),Won (33%),19,10,12,7,5,3,2,0,0,0,0,0,342,374,20,16,80,78,240,279
1,23,5,80.1,19.9,90,56,13,9,18,14,11,19,7,1,8,7,4,9,7.13,6.67,Chelsea,Everton,0 , 0,1 , 1,19:45,"Alh, 16-Des-21",7,6,Won (33%),Drew (17%),Won (50%),23,5,10,4,13,1,0,0,0,0,0,0,808,203,22,5,36,64,748,134
2,26,6,55.5,44.5,83,74,18,9,11,12,12,21,5,4,12,6,0,3,,6.78,Arsenal,Wolverhampton,0 , 1,2 , 1,19:45,"Alh, 24-Feb-22",7,8,Won (33%),Drew (17%),Won (50%),27,6,21,5,5,1,0,0,0,0,1,0,531,427,18,10,47,69,462,347
3,7,12,32.5,67.5,66,82,10,10,16,28,18,15,5,7,11,8,7,6,6.44,6.8,Everton,Manchester United,1 , 0,1 , 0,12:30,"Jmos, 09-Apr-22",6,14,Won (0%),Drew (50%),Won (50%),7,12,4,8,3,4,0,0,0,0,0,0,324,674,12,24,58,52,253,598
4,17,10,40.8,59.2,86,88,9,8,11,11,10,18,6,4,11,5,3,5,6.47,6.35,Tottenham,Norwich,1 , 0,3 , 0,14:00,"Jpl, 05-Des-21",11,5,Won (50%),Drew (17%),Won (33%),17,10,11,6,5,4,1,0,0,0,0,0,477,694,12,16,32,74,432,603
5,14,17,44.5,55.5,82,84,4,14,22,16,18,10,3,8,5,13,6,4,6.73,6.35,Manchester United,Arsenal,1 , 1,3 , 2,20:15,"Alh, 02-Des-21",4,7,Won (17%),Drew (33%),Won (50%),14,17,11,11,1,6,1,0,1,0,0,0,445,555,12,18,42,56,391,480
6,17,6,52.7,47.3,90,89,7,8,9,7,13,6,5,3,5,6,3,3,6.59,6.79,Tottenham,West Ham,2 , 1,3 , 1,16:30,"Jpl, 20-Mac-22",11,9,Won (50%),Drew (17%),Won (33%),18,6,14,4,2,2,1,0,0,0,1,0,624,560,16,12,42,55,564,492
7,19,14,59.3,40.7,86,78,8,13,15,10,20,18,9,3,10,15,4,3,6.98,6.82,Chelsea,Wolverhampton,0 , 0,2 , 2,15:00,"Jmos, 07-Mei-22",9,5,Won (33%),Drew (50%),Won (17%),19,14,13,5,5,5,0,4,1,0,0,0,520,357,20,18,39,46,457,291
8,8,10,63.3,36.7,87,79,8,8,13,12,20,24,7,3,12,19,2,3,6.4,6.36,Crystal Palace,Aston Villa,0 , 1,1 , 2,15:00,"Jmos, 27-Nov-21",6,9,Won (50%),Drew (0%),Won (50%),8,10,5,5,3,5,0,0,0,0,0,0,611,353,30,9,65,46,514,297
9,4,24,29,71,75,89,3,8,9,20,18,29,3,3,18,11,3,2,6.53,7.1,Southampton,Chelsea,0 , 4,0 , 6,15:00,"Jmos, 09-Apr-22",9,12,Won (17%),Drew (33%),Won (50%),4,24,3,20,1,2,0,2,0,0,0,0,309,759,14,8,51,38,244,711
