,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Kevin De Bruyne,167,Man City,30,"M(CLR),FW",32,2800,20,3.9,54.5,81.5,2.1,3.5,0.4,7.97,3,13,3,0,2.8,0.5,10,1.4,0.8,0.1,0.9,1.3,1.3,0.5,0.7,0.0,0.7,1.4,0.1,0
1,Ricardo Pereira,14,Leicester,28,"D(LR),M(R)",28,2520,2,1.0,56.1,78.9,0.3,2.1,0.1,7.5,0,3,1,0,0.6,1.5,2,2.1,1.3,0.0,1.1,1.6,4.3,1.8,1.6,0.3,2.6,1.9,0.2,0
2,Adama Traoré,161,Wolves,25,"M(CLR),FW",27,2608,9,1.3,19.2,74.4,1.2,0.2,0.1,7.49,10,4,1,0,1.2,1.2,6,5.0,2.1,0.2,1.8,2.4,0.9,0.4,1.1,0.0,0.4,0.4,0.1,0
3,Riyad Mahrez,167,Man City,30,AM(CLR),21,1942,9,1.8,33.2,90.1,0.6,1.7,0.2,7.48,12,11,0,0,2.2,0.3,3,1.6,0.9,0.4,1.0,1.4,0.8,0.5,0.4,0.0,0.2,0.8,0.0,0
4,Sadio Mané,26,Liverpool,29,"AM(CLR),FW",31,2756,7,1.7,31.5,81.6,0.3,1.0,0.1,7.45,4,18,3,0,2.2,1.2,7,2.0,1.5,0.4,1.6,2.9,1.3,0.4,1.3,0.0,0.2,0.8,0.0,0
5,Mohamed Salah,26,Liverpool,29,"AM(CLR),FW",33,2888,10,1.8,28.8,76.5,0.3,0.4,0.1,7.4,1,19,1,0,3.9,0.4,6,1.5,0.5,0.6,2.0,2.6,0.5,0.2,0.5,0.0,0.1,0.5,0.0,0
6,Raheem Sterling,167,Man City,26,"M(CLR),FW",30,2661,1,1.5,35.4,82.8,0.2,0.3,0.1,7.35,3,20,5,0,3.0,0.7,1,1.7,1.2,0.4,1.8,2.0,0.8,0.5,0.9,0.0,0.1,0.7,0.1,0
7,Marcus Rashford,32,Man Utd,23,"AM(CLR),FW",31,2655,7,1.1,30.4,77.3,0.3,1.2,0.2,7.35,0,17,3,0,3.1,0.7,7,1.9,1.5,0.4,1.1,2.1,0.4,0.3,0.7,0.0,0.5,0.5,0.0,0
8,James Maddison,14,Leicester,24,AM(CLR),29,2629,3,2.5,47.5,83.0,1.9,2.3,0.2,7.34,2,6,4,0,2.4,0.2,4,1.6,2.8,0.1,0.9,1.8,1.9,0.3,1.2,0.0,0.2,1.5,0.0,0
9,Harry Kane,30,Tottenham,28,"AM(C),FW",29,2590,2,0.9,19.1,66.7,0.1,0.8,0.2,7.33,0,18,4,0,2.8,2.6,4,1.0,1.5,0.7,1.1,2.3,0.6,0.2,1.3,0.0,1.0,0.4,0.2,0
