,player_name,team_number,team_name,age,position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Erling Haaland,167,Man City,22, FW  ,15(1),1311,0.1,0.1,0.8,0,0.4,0.1,0.1,0,7.79
1,Kieran Trippier,23,Newcastle,32," D(LR),M(R)  ",18,1597,2.2,1.4,1,0.3,1.7,1,0.6,0,7.70
2,Kevin De Bruyne,167,Man City,31," M(CLR),FW  ",16(1),1405,1.1,0.2,0.9,0,0.4,0.8,0.1,0,7.68
3,Gabriel Jesus,13,Arsenal,25," AM(LR),FW  ",14,1226,1.4,0.6,1.7,0,0.6,0.6,0.1,0,7.59
4,Harry Kane,30,Tottenham,29," AM(C),FW  ",18,1608,0.3,0.1,0.7,0.1,0.5,0.2,0.2,0,7.55
5,Martin Ødegaard,13,Arsenal,24, AM(CR)  ,16,1350,1,0.1,0.9,0.1,0.3,0.6,0.1,0,7.49
6,Aleksandar Mitrovic,170,Fulham,28, FW  ,15,1286,0.7,0.1,1.2,0,0.9,0.2,0.3,0,7.45
7,Rodri,167,Man City,26," D(C),DMC  ",16,1391,2.3,1.1,1.7,0,1.2,0.6,0.5,0,7.39
8,James Maddison,14,Leicester,26, AM(CLR)  ,13,1100,1.9,0.7,1.2,0.1,0.2,0.9,0,0,7.39
9,Bukayo Saka,13,Arsenal,21," D(L),M(CLR)  ",17,1449,1.2,0.6,1.2,0.1,0.5,0.5,0,0,7.37
0,Bruno Guimarães,23,Newcastle,25, DMC  ,15,1269,2.6,1.2,1.4,0,0.6,0.7,0.2,0,7.36
1,Ivan Toney,189,Brentford,26, FW  ,16,1440,0.8,0.4,1.8,0,1,0.3,0.3,0,7.35
2,Gabriel Martinelli,13,Arsenal,21," AM(L),FW  ",17,1455,0.9,0.4,1.4,0,0.4,0.3,0.1,0,7.34
3,Rodrigo Bentancur,30,Tottenham,25, M(C)  ,13(1),1186,2.6,1.3,1.4,0,1,0.6,0.9,0,7.32
4,Joelinton,23,Newcastle,26," AM(CLR),FW  ",15(1),1330,2.6,1.4,1.8,0.1,1.4,0.9,0.2,0,7.29
5,Casemiro,32,Man Utd,30, DMC  ,10(4),979,3.2,1.2,2,0,1.8,0.9,0.4,0,7.25
6,Bruno Fernandes,32,Man Utd,28, M(CLR)  ,16,1440,2.2,0.8,1.4,0,1,0.9,0.1,0,7.25
7,Roberto Firmino,26,Liverpool,31," M(CLR),FW  ",11(2),937,1,0.5,0.5,0,0.2,0.6,0.1,0,7.20
8,Thomas Partey,13,Arsenal,29," D(R),M(CR)  ",14,1215,2.1,1.1,1.1,0,1.6,0.7,0.1,0,7.20
9,Phil Foden,167,Man City,22," AM(CLR),FW  ",12(5),991,0.7,0.2,0.2,0,0.2,0.1,0.1,0,7.17
0,Miguel Almirón,23,Newcastle,28," AM(CLR),FW  ",18,1499,1.7,0.2,0.6,0,0.4,0.3,0.1,0,7.16
1,Fabian Schär,23,Newcastle,31, D(C)  ,17,1515,1.1,1.6,0.6,0.6,4.3,0.2,0.8,0,7.15
2,Pierre-Emile Højbjerg,30,Tottenham,27, M(C)  ,17,1513,1.5,1.4,0.8,0,1.5,0.5,0.6,0,7.13
3,Son Heung-Min,30,Tottenham,30," M(CLR),FW  ",15(1),1305,0.9,0.4,0.4,0,0.1,0.4,0.1,0,7.10
