,player_name,team_number,team_name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating
0,Erling Haaland,167,Man City,15(1),1311,21,3,3,0,4.1,75.7,1,4,7.79
1,Kieran Trippier,23,Newcastle,18,1597,1,4,4,0,0.4,75.9,1.3,7,7.70
2,Kevin De Bruyne,167,Man City,16(1),1405,3,9,1,0,2.6,79.9,0.4,5,7.68
3,Gabriel Jesus,13,Arsenal,14,1226,5,5,4,0,3.6,81.9,1.7,2,7.59
4,Harry Kane,30,Tottenham,18,1608,15,1,4,0,3.6,71.7,1.7,3,7.55
5,Martin Ødegaard,13,Arsenal,16,1350,7,5,3,0,2.4,81.8,0.5,5,7.49
6,Aleksandar Mitrovic,170,Fulham,15,1286,11,1,5,0,4.6,60.5,4.8,4,7.45
7,Rodri,167,Man City,16,1391,1,3,2,0,1.6,90.8,2.4,1,7.39
8,James Maddison,14,Leicester,13,1100,7,4,5,0,3,84.2,0.2,3,7.39
9,Bukayo Saka,13,Arsenal,17,1449,6,6,4,0,1.9,83.6,0.2,1,7.37
0,Bruno Guimarães,23,Newcastle,15,1269,3,3,3,0,0.9,83,0.5,1,7.36
1,Ivan Toney,189,Brentford,16,1440,12,3,6,0,2.9,63.7,3.1,3,7.35
2,Gabriel Martinelli,13,Arsenal,17,1455,7,2,1,0,2.5,83.6,0.5,1,7.34
3,Rodrigo Bentancur,30,Tottenham,13(1),1186,4,2,5,0,0.9,86.1,0.9,1,7.32
4,Joelinton,23,Newcastle,15(1),1330,2,1,6,0,1.6,81.9,2.1,1,7.29
5,Casemiro,32,Man Utd,10(4),979,2,2,3,0,1.1,80.5,1.9,2,7.25
6,Bruno Fernandes,32,Man Utd,16,1440,2,3,5,0,2.1,78.8,0.5,2,7.25
7,Roberto Firmino,26,Liverpool,11(2),937,7,3,0,0,2.5,79.6,1,2,7.20
8,Thomas Partey,13,Arsenal,14,1215,2,0,2,0,1.1,86.5,1.4,1,7.20
9,Phil Foden,167,Man City,12(5),991,7,3,1,0,1.6,85,0.8,0,7.17
0,Miguel Almirón,23,Newcastle,18,1499,9,1,1,0,2.2,84,0.2,1,7.16
1,Fabian Schär,23,Newcastle,17,1515,1,0,4,0,1.4,75.1,2.3,0,7.15
2,Pierre-Emile Højbjerg,30,Tottenham,17,1513,4,2,1,0,1.1,89.1,0.6,2,7.13
3,Son Heung-Min,30,Tottenham,15(1),1305,4,2,0,0,2.7,80.4,0.3,2,7.10
4,Jack Grealish,167,Man City,8(3),741,1,3,0,0,1.3,88.6,0.6,1,7.10
5,Bernd Leno,170,Fulham,16,1440,0,0,1,0,0,76.1,0.4,2,7.10
6,Solly March,211,Brighton,17,1457,2,3,2,0,1.9,77.5,1.4,2,7.09
7,Bernardo Silva,167,Man City,14(2),1215,2,5,2,0,0.9,90,0.1,0,7.06
8,João Cancelo,167,Man City,15(1),1189,2,1,3,1,1.1,87,1.6,1,7.05
9,João Palhinha,170,Fulham,17,1508,3,0,6,0,1.2,83.3,2,2,7.05
0,Granit Xhaka,13,Arsenal,17,1439,3,4,3,0,1.2,85.7,1,1,7.02
1,Dejan Kulusevski,30,Tottenham,8(2),705,1,5,0,0,1.4,82.5,0.2,1,7.01
2,Ilkay Gündogan,167,Man City,12(3),1077,2,2,0,0,1.8,88.9,0.7,0,7.01
3,Mohamed Salah,26,Liverpool,17,1509,7,4,0,0,3.4,76.5,0.1,1,7.01
4,Thiago Silva,15,Chelsea,14(1),1343,0,2,1,0,0.5,90.4,1.9,1,7.00
5,Pascal Struijk,19,Leeds,16,1435,2,1,3,0,0.8,79.5,2.4,0,7.00
6,Alisson,26,Liverpool,17,1530,0,1,0,0,0,81.7,0.2,2,6.99
7,Alexis Mac Allister,211,Brighton,14(1),1285,5,0,4,0,1.9,88.9,0.6,1,6.99
8,David Raya,189,Brentford,18,1620,0,0,0,0,0,60.5,0.6,2,6.98
9,Kenny Tete,170,Fulham,11(1),980,0,4,6,0,0.4,74.7,1.1,0,6.98
0,Marcus Rashford,32,Man Utd,15(2),1351,7,3,2,0,2.4,76.9,0.9,2,6.97
1,Ben Mee,189,Brentford,17,1480,2,1,1,0,0.6,76.9,3.5,1,6.97
2,Diogo Dalot,32,Man Utd,13(1),1187,0,1,5,0,0.9,78,1.6,2,6.96
3,Leandro Trossard,211,Brighton,16,1326,7,2,1,0,2.4,74.4,0.4,2,6.96
4,Eberechi Eze,162,Crystal Palace,17,1356,3,3,0,0,1.9,83.8,0.3,1,6.94
5,Moisés Caicedo,211,Brighton,16,1428,1,1,5,0,0.8,87.7,1.2,0,6.94
6,Marcus Tavernier,183,Bournemouth,15,1289,2,4,1,0,1.7,76.5,0.8,2,6.94
7,Wilfried Zaha,162,Crystal Palace,16,1419,6,2,3,0,2.4,83.2,0.3,2,6.93
8,Rúben Neves,161,Wolves,17,1530,4,0,7,0,1.9,83.5,0.7,3,6.93
9,Gabriel Magalhães,13,Arsenal,17,1530,2,0,3,0,1,90.1,2.1,2,6.93
0,Willian,170,Fulham,9(2),820,1,2,0,0,1.5,84.6,0.5,1,6.93
1,Pascal Groß,211,Brighton,17,1467,6,3,2,0,1.1,81.7,0.1,2,6.92
2,Ben White,13,Arsenal,17,1383,0,2,3,0,0.3,86.6,0.8,0,6.92
3,Serge Aurier,174,Nottingham Forest,9(1),786,1,0,1,0,0.4,71.4,2.3,1,6.92
4,Youri Tielemans,14,Leicester,16(2),1383,3,1,1,0,1.2,84.7,0.9,0,6.92
5,Darwin Núñez,26,Liverpool,10(3),874,5,2,1,1,4.2,69.5,1.5,2,6.91
6,James Tarkowski,31,Everton,18,1620,0,0,3,0,0.7,84.1,2.8,1,6.91
7,Thiago,26,Liverpool,11,893,0,0,2,0,0.7,86.4,1,1,6.91
