,home_shot,away_shot,home_possession,away_possession,home_pass_success,away_pass_success,home_dribbles,away_dribbles,home_aerials_won,away_aerials_won,home_tackles,away_tackles,home_corners,away_corners,home_dispossessed,away_dispossessed,home_missing_player,away_missing_player,home_missing_player_rating,away_missing_player_rating,home,away,half_home_score,half_away_score,full_home_score,full_away_score,kick_off,date,matchup_home_goals,matchup_away_goals,matchup_home_wins,matchup_draw,matchup_away_wins,home_total_att,away_total_att,home_open_att,away_open_att,home_set_att,away_set_att,home_counter_att,away_counter_att,home_pk_att,away_pk_att,home_own_att,away_own_att,home_total_passes,away_total_passes,home_crosses_passes,away_crosses_passes,home_long_balls,away_long_balls,home_short_passes,away_short_passes
0,14,6,66.3,33.7,87,70,8,8,14,10,21,19,6,3,7,14,4,4,6.8,6.6,Marseille,Montpellier,0 , 1,2 , 2,13:00,"Jpl, 06-Des-15",10,8,Won (67%),Drew (0%),Won (33%),14,6,11,5,3,1,0,0,0,0,0,0,616,316,37,6,37,67,538,239
1,16,6,58,42,80,72,13,7,28,26,27,14,7,2,5,20,5,8,6.83,6.68,Bordeaux,Montpellier,0 , 0,0 , 0,16:00,"Jpl, 18-Okt-15",10,5,Won (67%),Drew (17%),Won (17%),16,6,9,4,7,2,0,0,0,0,0,0,524,382,30,6,62,80,431,295
2,18,8,69.7,30.3,82,56,8,5,27,15,25,33,14,2,19,8,3,1,7.03,6.52,Marseille,Caen,0 , 1,0 , 1,20:00,"Jmos, 08-Ago-15",12,8,Won (50%),Drew (33%),Won (17%),18,8,13,5,5,2,0,1,0,0,0,0,576,249,37,12,58,63,480,174
3,6,11,48.1,51.9,76,82,15,11,7,10,12,20,7,1,7,11,2,5,6.78,6.66,Lorient,Montpellier,0 , 1,1 , 1,19:00,"Jmos, 06-Feb-16",10,9,Won (33%),Drew (33%),Won (33%),6,11,6,10,0,1,0,0,0,0,0,0,498,536,23,20,93,65,382,448
4,28,2,65,35,87,67,4,6,24,16,10,16,11,3,14,7,6,5,7.1,6.88,Lille,Guingamp,0 , 0,0 , 0,20:00,"Jmos, 07-Mei-16",4,3,Won (50%),Drew (33%),Won (17%),28,2,20,1,8,1,0,0,0,0,0,0,607,326,40,15,43,77,524,234
5,8,17,38,62,74,85,14,17,11,14,23,16,6,3,10,15,6,4,6.84,6.9,Lorient,Lyon,1 , 1,1 , 3,20:00,"Jpl, 03-Apr-16",5,10,Won (17%),Drew (50%),Won (33%),8,17,6,15,2,2,0,0,0,0,0,0,404,657,16,9,67,58,316,579
6,16,3,70,30,79,57,2,6,27,19,23,16,4,2,12,14,2,4,6.56,6.88,GFC Ajaccio,Guingamp,0 , 0,0 , 0,19:00,"Jmos, 06-Feb-16",6,6,Won (17%),Drew (33%),Won (50%),16,3,12,2,4,1,0,0,0,0,0,0,580,249,31,7,78,76,471,166
7,10,12,45.8,54.2,73,76,5,10,31,24,18,25,5,4,18,11,8,13,6.91,6.74,Guingamp,Bordeaux,1 , 2,2 , 4,19:00,"Jmos, 13-Feb-16",5,10,Won (17%),Drew (33%),Won (50%),10,12,6,9,4,3,0,0,0,0,0,0,366,435,20,16,74,79,272,336
8,6,7,31.7,68.3,65,88,15,18,15,13,26,16,6,2,8,10,4,2,6.68,7.22,SC Bastia,Marseille,0 , 0,2 , 1,16:00,"Jpl, 03-Apr-16",5,15,Won (0%),Drew (33%),Won (67%),7,7,4,4,1,3,0,0,1,0,1,0,258,549,15,15,64,72,178,462
9,12,10,45.5,54.5,76,78,11,15,22,22,24,13,10,7,11,15,5,6,6.78,6.56,Monaco,Reims,2 , 1,2 , 2,19:30,"Ijm, 11-Mac-16",9,6,Won (50%),Drew (33%),Won (17%),12,10,7,9,5,1,0,0,0,0,0,0,407,489,24,20,59,74,322,392
10,11,11,55.3,44.7,81,75,10,4,20,17,7,21,3,4,15,2,5,3,6.58,6.54,Montpellier,Reims,1 , 1,3 , 1,19:00,"Jmos, 21-Nov-15",11,8,Won (50%),Drew (17%),Won (33%),11,11,5,7,6,4,0,0,0,0,0,0,504,409,16,13,81,63,404,332
11,8,8,48.4,51.6,76,76,11,7,14,10,17,23,5,2,17,15,2,3,6.55,6.77,Rennes,Bordeaux,1 , 1,2 , 2,16:00,"Jpl, 22-Nov-15",6,10,Won (0%),Drew (50%),Won (50%),8,8,3,6,4,2,0,0,1,0,0,0,447,474,12,13,65,76,370,384
12,5,12,33.8,66.2,80,90,5,13,12,12,22,14,3,6,8,15,4,8,6.43,6.68,Angers,Nice,1 , 0,1 , 1,19:00,"Jmos, 29-Ago-15",3,3,Won (33%),Drew (33%),Won (33%),5,12,2,8,3,4,0,0,0,0,0,0,337,661,20,17,51,48,266,595
13,16,8,58.4,41.6,82,74,7,6,17,17,14,19,8,0,13,12,5,4,6.93,6.46,Guingamp,Angers,1 , 1,2 , 2,19:00,"Jmos, 27-Feb-16",5,4,Won (50%),Drew (17%),Won (33%),16,8,8,7,7,0,0,0,1,1,0,0,504,358,25,10,57,71,422,277
14,21,14,56.6,43.4,84,76,7,9,13,19,21,20,7,4,13,6,5,5,6.82,6.66,Marseille,Reims,0 , 0,1 , 0,20:00,"Jmos, 07-Mei-16",12,7,Won (33%),Drew (33%),Won (33%),21,14,17,10,3,4,1,0,0,0,0,0,516,390,22,17,60,67,431,300
15,7,3,46.6,53.4,79,81,2,8,13,18,22,19,5,4,12,18,4,10,6.77,6.8,Angers,Bordeaux,0 , 1,1 , 1,16:00,"Jpl, 13-Des-15",1,0,Won (50%),Drew (50%),Won (0%),7,3,3,2,4,1,0,0,0,0,0,0,461,526,25,18,61,72,375,435
16,8,6,54.2,45.8,76,73,11,2,28,18,16,12,4,0,7,8,4,5,6.64,6.63,Guingamp,Reims,1 , 1,1 , 2,18:00,"Jtan, 02-Des-15",9,7,Won (50%),Drew (17%),Won (33%),8,6,3,4,5,1,0,1,0,0,0,0,427,360,27,7,63,58,334,293
17,22,9,69.9,30.1,89,73,2,4,17,9,23,31,4,1,23,20,5,8,6.99,6.59,Lyon,Troyes,1 , 0,4 , 1,16:00,"Jmos, 09-Jan-16",11,4,Won (83%),Drew (0%),Won (17%),22,9,15,8,7,1,0,0,0,0,0,0,731,315,16,10,47,60,665,245
18,8,13,42,58,76,84,7,14,14,17,28,14,4,5,12,14,5,3,6.59,6.61,Troyes,Montpellier,0 , 0,0 , 0,19:00,"Jmos, 29-Ago-15",5,9,Won (17%),Drew (33%),Won (50%),8,13,6,6,1,7,1,0,0,0,0,0,386,537,20,17,70,61,294,450
19,10,16,53.1,46.9,79,79,6,11,14,22,22,13,6,12,6,15,5,5,6.58,6.87,Troyes,Lille,0 , 1,1 , 1,19:00,"Jmos, 21-Nov-15",3,10,Won (0%),Drew (33%),Won (67%),10,16,8,10,1,6,1,0,0,0,0,0,498,441,29,36,67,55,398,347
20,14,13,39.5,60.5,72,81,5,21,23,19,16,17,1,6,11,8,3,7,6.67,6.83,GFC Ajaccio,Lille,1 , 1,2 , 4,19:00,"Jmos, 16-Apr-16",0,1,Won (0%),Drew (0%),Won (100%),14,14,11,10,3,3,0,0,0,0,0,1,363,551,16,16,71,75,273,458
21,14,15,68.7,31.3,82,66,4,4,8,14,12,12,6,5,10,1,7,2,6.68,7.1,Troyes,Caen,0 , 2,1 , 3,19:00,"Jmos, 12-Sep-15",11,9,Won (50%),Drew (33%),Won (17%),14,15,11,11,3,3,0,1,0,0,0,0,601,275,27,16,85,66,489,192
22,9,10,55,45,85,80,4,6,17,14,17,17,9,8,15,10,5,5,6.96,6.5,Nice,Montpellier,1 , 0,1 , 0,19:30,"Ijm, 18-Des-15",9,11,Won (17%),Drew (33%),Won (50%),9,10,5,4,4,6,0,0,0,0,0,0,536,437,26,27,60,47,450,361
23,9,15,45.8,54.2,74,78,6,5,22,18,13,13,2,4,8,13,4,5,6.65,6.77,SC Bastia,GFC Ajaccio,1 , 1,1 , 2,13:00,"Jpl, 22-Nov-15",5,1,Won (50%),Drew (50%),Won (0%),9,15,7,11,2,3,0,0,0,1,0,0,409,480,26,19,77,85,305,375
24,13,11,59.4,40.6,78,69,7,8,29,23,17,19,8,4,15,12,5,7,6.78,6.9,Nantes,Lille,0 , 1,0 , 3,13:00,"Jpl, 03-Apr-16",2,6,Won (17%),Drew (33%),Won (50%),13,11,4,8,9,3,0,0,0,0,0,0,567,393,25,11,90,69,452,311
25,27,9,65,35,92,81,18,16,12,5,20,21,5,2,8,13,3,4,7.15,6.79,Paris Saint-Germain,Rennes,0 , 0,4 , 0,19:30,"Ijm, 29-Apr-16",9,4,Won (67%),Drew (17%),Won (17%),27,9,22,7,5,2,0,0,0,0,0,0,815,437,22,9,38,57,742,370
26,20,7,67.7,32.3,84,69,8,9,16,15,31,16,4,5,5,24,7,1,6.82,6.1,Lyon,Toulouse,1 , 0,3 , 0,19:30,"Ijm, 23-Okt-15",8,7,Won (33%),Drew (33%),Won (33%),20,7,17,4,3,3,0,0,0,0,0,0,644,309,20,18,87,57,536,234
27,10,9,45.4,54.6,71,78,3,10,15,29,20,21,5,4,15,16,3,6,6.52,6.76,SC Bastia,Lille,0 , 1,1 , 2,19:00,"Jmos, 12-Mac-16",7,6,Won (33%),Drew (33%),Won (33%),10,9,5,6,5,3,0,0,0,0,0,0,426,514,21,19,72,67,332,427
28,14,10,46.2,53.8,79,80,15,4,26,27,15,26,7,5,16,9,13,6,6.79,6.67,Bordeaux,Nice,0 , 0,0 , 0,19:30,"Ijm, 19-Feb-16",10,11,Won (50%),Drew (17%),Won (33%),14,10,8,7,6,3,0,0,0,0,0,0,485,566,35,13,64,53,385,499
29,24,2,51.4,48.6,78,75,5,11,17,14,26,20,8,2,10,15,2,4,6.31,6.76,SC Bastia,Lorient,0 , 0,0 , 0,19:00,"Jmos, 05-Mac-16",7,11,Won (17%),Drew (33%),Won (50%),24,2,16,2,8,0,0,0,0,0,0,0,454,432,28,9,49,71,376,351
30,9,9,54.6,45.4,69,62,2,5,36,22,17,21,2,6,15,13,8,4,6.64,6.75,Saint-Etienne,Toulouse,0 , 0,0 , 0,16:00,"Jmos, 30-Apr-16",5,8,Won (0%),Drew (50%),Won (50%),9,9,5,6,4,2,0,0,0,1,0,0,401,335,22,23,81,74,297,236
31,12,17,51.8,48.2,78,77,3,8,14,20,26,20,5,4,12,11,6,7,6.64,6.73,Troyes,Angers,0 , 0,0 , 1,19:00,"Jmos, 02-Apr-16",12,8,Won (50%),Drew (33%),Won (17%),12,17,9,13,3,4,0,0,0,0,0,0,514,481,19,15,79,64,410,401
32,6,5,71.3,28.7,85,64,8,7,23,12,18,19,5,0,7,15,1,4,6.29,6.69,Lyon,GFC Ajaccio,2 , 0,2 , 1,20:00,"Jmos, 30-Apr-16",5,2,Won (50%),Drew (0%),Won (50%),6,5,2,3,4,2,0,0,0,0,0,0,725,291,15,8,38,77,666,206
33,25,12,54.1,45.9,71,66,2,6,19,16,13,21,5,2,16,11,5,8,6.73,6.7,GFC Ajaccio,Nantes,0 , 0,1 , 1,19:00,"Jmos, 05-Des-15",4,3,Won (50%),Drew (0%),Won (50%),25,12,17,10,8,2,0,0,0,0,0,0,440,374,44,21,85,84,311,269
34,23,12,74.7,25.3,91,75,17,25,15,11,22,18,10,2,14,15,3,6,7.34,6.9,Paris Saint-Germain,Monaco,0 , 0,0 , 2,20:00,"Jpl, 20-Mac-16",8,3,Won (33%),Drew (67%),Won (0%),23,12,17,7,6,2,0,2,0,1,0,0,870,295,27,14,47,56,789,223
35,6,14,50.9,49.1,62,60,2,7,29,26,24,15,2,8,8,16,7,1,6.74,6.93,Angers,Toulouse,1 , 0,2 , 3,20:00,"Jmos, 14-Mei-16",2,1,Won (100%),Drew (0%),Won (0%),6,14,5,7,1,5,0,1,0,1,0,0,349,335,7,26,89,70,253,237
36,7,9,40.7,59.3,71,80,6,11,15,14,15,21,4,4,14,8,3,7,6.58,6.73,Montpellier,Toulouse,1 , 0,2 , 0,19:00,"Jmos, 13-Feb-16",9,7,Won (33%),Drew (50%),Won (17%),7,9,6,9,1,0,0,0,0,0,0,0,391,573,17,32,69,67,304,470
37,17,9,57,43,83,75,16,6,18,12,13,24,8,2,20,8,4,6,6.69,6.7,Rennes,SC Bastia,0 , 1,1 , 2,20:00,"Jmos, 14-Mei-16",6,8,Won (33%),Drew (0%),Won (67%),17,9,11,7,6,1,0,1,0,0,0,0,541,404,26,14,43,86,471,303
38,13,6,55.7,44.3,89,86,12,17,8,5,15,13,7,6,10,11,3,6,7.4,6.89,Paris Saint-Germain,Nice,2 , 1,4 , 1,16:00,"Jmos, 02-Apr-16",13,3,Won (100%),Drew (0%),Won (0%),13,6,7,4,6,1,0,1,0,0,0,0,675,536,15,17,40,50,616,468
39,16,10,46,54,79,78,10,10,12,16,20,20,4,4,18,17,7,5,6.78,6.39,Lille,Rennes,1 , 0,1 , 1,13:00,"Jpl, 07-Feb-16",5,6,Won (17%),Drew (50%),Won (33%),16,10,11,7,5,2,0,0,0,1,0,0,419,492,23,10,50,55,345,427
40,9,12,61.4,38.6,83,77,12,8,11,10,25,15,3,6,11,25,7,6,6.92,6.68,Nice,Nantes,1 , 1,1 , 2,17:30,"Jtan, 04-Nov-15",8,8,Won (17%),Drew (50%),Won (33%),9,12,7,9,2,3,0,0,0,0,0,0,581,367,22,25,63,74,495,268
41,7,11,52.8,47.2,81,77,13,13,24,15,18,14,4,1,10,13,9,6,6.75,6.79,Monaco,SC Bastia,1 , 0,2 , 0,18:00,"Jnne, 02-Feb-16",13,2,Won (83%),Drew (0%),Won (17%),8,11,7,8,0,3,0,0,0,0,1,0,558,492,26,18,53,70,476,404
42,3,19,28.8,71.2,80,92,20,9,6,13,9,22,3,2,11,6,4,4,6.93,7.84,Monaco,Paris Saint-Germain,0 , 0,0 , 3,20:00,"Jpl, 30-Ago-15",4,6,Won (0%),Drew (83%),Won (17%),3,19,2,18,1,1,0,0,0,0,0,0,333,819,18,18,50,49,265,742
43,10,8,55.3,44.7,82,74,16,3,28,11,16,26,8,2,10,12,7,1,6.75,6.63,Rennes,GFC Ajaccio,0 , 0,1 , 0,19:30,"Ijm, 22-Jan-16",1,1,Won (0%),Drew (100%),Won (0%),11,8,6,6,4,1,0,1,0,0,1,0,539,435,22,15,49,77,468,343
44,10,9,37.4,62.6,72,78,8,11,28,17,20,11,4,6,6,15,5,4,6.63,6.69,Reims,Lille,0 , 0,1 , 0,19:30,"Ijm, 25-Sep-15",8,9,Won (50%),Drew (17%),Won (33%),10,9,8,6,1,3,0,0,1,0,0,0,307,515,16,23,63,58,228,433
