,home_shot,away_shot,home_possession,away_possession,home_pass_success,away_pass_success,home_dribbles,away_dribbles,home_aerials_won,away_aerials_won,home_tackles,away_tackles,home_corners,away_corners,home_dispossessed,away_dispossessed,home_missing_player,away_missing_player,home_missing_player_rating,away_missing_player_rating,home,away,half_home_score,half_away_score,full_home_score,full_away_score,kick_off,date,matchup_home_goals,matchup_away_goals,matchup_home_wins,matchup_draw,matchup_away_wins,home_total_att,away_total_att,home_open_att,away_open_att,home_set_att,away_set_att,home_counter_att,away_counter_att,home_pk_att,away_pk_att,home_own_att,away_own_att,home_total_passes,away_total_passes,home_crosses_passes,away_crosses_passes,home_long_balls,away_long_balls,home_short_passes,away_short_passes
0,6,12,35.1,64.9,54,75,6,8,14,14,28,19,7,9,13,22,4,7,6.7,6.84,Watford,Liverpool,2 , 0,3 , 0,13:30,"Jpl, 20-Des-15",3,10,Won (17%),Drew (0%),Won (83%),6,12,5,11,1,1,0,0,0,0,0,0,287,538,17,24,86,86,182,428
1,21,7,60.4,39.6,80,63,17,15,14,16,16,22,8,3,13,14,6,3,6.69,6.75,Crystal Palace,West Bromwich Albion,0 , 0,2 , 0,12:45,"Jmos, 03-Okt-15",8,8,Won (33%),Drew (33%),Won (33%),21,7,12,5,8,2,0,0,1,0,0,0,486,318,34,11,75,76,377,231
2,25,13,51.9,48.1,82,80,8,10,15,4,10,16,13,3,9,5,1,5,6.81,6.74,West Ham,Swansea,0 , 2,1 , 4,15:00,"Jmos, 07-Mei-16",7,2,Won (50%),Drew (50%),Won (0%),26,13,17,11,8,1,0,1,0,0,1,0,475,439,36,20,61,73,378,346
3,17,18,45.3,54.7,73,79,10,5,28,23,14,10,7,7,10,10,6,0,6.64,,West Bromwich Albion,Swansea,0 , 0,1 , 1,20:00,"Jnne, 02-Feb-16",6,8,Won (50%),Drew (0%),Won (50%),17,18,12,14,5,3,0,1,0,0,0,0,418,503,44,15,81,72,293,416
4,4,11,27,73,65,86,5,17,13,14,20,13,3,5,8,11,3,7,6.67,6.94,West Bromwich Albion,Arsenal,2 , 1,2 , 1,15:00,"Jmos, 21-Nov-15",4,10,Won (0%),Drew (17%),Won (83%),5,11,1,7,3,3,0,0,0,1,1,0,269,714,16,23,67,39,186,644
5,21,5,70.8,29.2,90,73,8,8,21,10,16,15,12,4,14,8,7,1,7.01,6.81,Manchester City,Norwich,0 , 0,2 , 1,15:00,"Jmos, 31-Okt-15",24,8,Won (67%),Drew (17%),Won (17%),21,5,12,1,7,4,0,0,2,0,0,0,762,313,31,15,50,59,675,239
6,26,13,63.7,36.3,84,74,13,4,21,15,16,17,7,7,13,10,3,7,6.7,6.34,Chelsea,Crystal Palace,0 , 0,1 , 2,15:00,"Jmos, 29-Ago-15",10,4,Won (83%),Drew (0%),Won (17%),26,13,19,12,7,1,0,0,0,0,0,0,608,348,23,23,70,67,515,258
7,11,18,44.2,55.8,76,81,11,16,16,23,13,26,3,7,11,8,12,3,6.61,6.18,Newcastle,Norwich,3 , 2,6 , 2,16:00,"Jpl, 18-Okt-15",6,5,Won (50%),Drew (33%),Won (17%),11,18,7,12,1,6,3,0,0,0,0,0,395,495,15,29,76,54,302,411
8,14,19,38.5,61.5,67,83,9,8,17,20,13,23,6,6,11,9,3,7,6.92,6.85,Crystal Palace,Liverpool,0 , 0,1 , 2,13:30,"Jpl, 06-Mac-16",13,11,Won (50%),Drew (17%),Won (33%),14,19,8,15,6,3,0,0,0,1,0,0,374,594,26,20,82,65,266,507
9,14,8,50.6,49.4,75,74,12,4,21,11,11,16,5,3,5,3,8,5,6.69,6.56,Crystal Palace,Bournemouth,1 , 1,1 , 2,20:00,"Jnne, 02-Feb-16",0,0,Won (0%),Drew (100%),Won (0%),14,8,9,6,5,2,0,0,0,0,0,0,418,405,29,15,88,80,300,309
10,10,15,45.8,54.2,68,73,7,12,21,27,20,17,5,4,8,9,6,3,6.78,6.4,West Ham,Bournemouth,0 , 2,3 , 4,15:00,"Jmos, 22-Ago-15",2,0,Won (100%),Drew (0%),Won (0%),10,15,4,13,5,1,0,0,1,1,0,0,400,471,19,11,94,79,286,378
11,10,12,53.8,46.2,83,73,7,14,18,22,19,27,4,6,23,6,3,6,6.69,6.68,Swansea,Aston Villa,0 , 0,1 , 0,17:30,"Jmos, 19-Mac-16",11,5,Won (67%),Drew (33%),Won (0%),10,12,5,6,5,6,0,0,0,0,0,0,494,422,17,33,59,77,418,312
12,16,5,47,53,71,72,12,8,11,10,27,24,2,7,19,20,3,6,6.55,6.84,Tottenham,Manchester United,0 , 0,3 , 0,16:00,"Jpl, 10-Apr-16",5,8,Won (17%),Drew (50%),Won (33%),16,5,12,4,4,1,0,0,0,0,0,0,412,464,14,17,72,75,326,370
13,21,12,57.1,42.9,82,73,11,10,9,18,32,31,6,5,18,22,5,8,6.97,6.59,Tottenham,Crystal Palace,0 , 0,1 , 0,13:30,"Jpl, 20-Sep-15",5,6,Won (33%),Drew (33%),Won (33%),21,12,14,7,5,5,2,0,0,0,0,0,462,348,17,23,68,66,377,259
14,10,5,53.6,46.4,74,75,8,3,18,14,12,11,7,4,7,8,9,2,6.67,6.18,Crystal Palace,Swansea,0 , 0,0 , 0,15:00,"Jtat, 28-Des-15",3,10,Won (17%),Drew (33%),Won (50%),10,5,5,3,5,2,0,0,0,0,0,0,453,390,39,12,68,73,346,304
15,15,10,59.1,40.9,82,72,9,9,25,22,18,21,9,6,9,10,3,6,7.2,7.08,Aston Villa,West Ham,0 , 1,1 , 1,15:00,"Jmos, 26-Des-15",3,4,Won (33%),Drew (33%),Won (33%),15,10,8,7,6,3,0,0,1,0,0,0,481,332,43,16,57,61,381,255
