,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Eden Hazard,15,Chelsea,30,"M(CLR),FW",32,2926,15,2.6,49.2,84.3,0.9,2.7,0.3,7.81,5,16,2,0,2.5,0.5,14,3.7,2.8,0.3,2.3,2.4,0.4,0.4,0.3,0,0.1,0.3,0,0
1,Raheem Sterling,167,Man City,26,"M(CLR),FW",31,2777,10,1.9,37.1,85.8,0.4,0.3,0,7.61,3,17,3,0,2.3,0.4,8,2.4,1.3,0.4,2.6,2.2,0.9,0.5,1.2,0,0.1,0.5,0.1,0
2,Mohamed Salah,26,Liverpool,29,"AM(CLR),FW",37,3262,8,1.8,28.4,75.9,0.4,0.6,0.3,7.57,1,22,1,0,3.6,0.3,8,2.1,0.8,0.7,3.1,2.9,0.6,0.1,0.7,0,0.1,0.3,0,0
3,Sergio Agüero,167,Man City,33,"AM(CL),FW",31,2480,8,1,23.4,85,0,0.1,0.1,7.53,2,21,3,0,3.6,0.5,5,1.4,0.8,0.8,1.6,2.2,0.5,0.3,0.6,0,0.1,0.1,0,0
4,Virgil van Dijk,26,Liverpool,30,D(C),38,3385,2,0.2,79.9,89.7,0,5.3,0,7.44,0,4,1,0,0.8,4.8,4,0.2,0.6,0,0,0.2,1,1.1,0.3,1.1,5.2,0,0.5,0
5,Sadio Mané,26,Liverpool,29,"AM(CLR),FW",35,3086,1,1.3,32.9,78.2,0.2,1.3,0.1,7.43,1,22,2,0,2.4,1,6,1.4,1.8,0.7,1.3,2.9,1,0.4,0.9,0.1,0.2,0.8,0.1,0
6,Harry Kane,30,Tottenham,28,"AM(C),FW",27,2427,4,1.1,19.7,73.1,0.1,1.6,0,7.38,1,17,5,0,3.6,1.8,6,1.4,1.9,0.4,1.6,2.9,0.4,0,1.1,0,0.5,0.5,0.2,0
7,Trent Alexander-Arnold,26,Liverpool,23,"D(R),M(R)",27,2467,12,1.7,58.5,77.5,2,4,0.1,7.36,2,1,3,0,1,0.3,1,0.5,0.2,0.1,0.5,1.4,2.1,1.2,0.5,0.3,2.1,1.1,0.1,0
8,Lucas Digne,31,Everton,28,"D(CL),M(L)",33,2966,4,2,41.6,76,2.4,1.7,0,7.36,2,4,5,1,1,2.6,4,0.4,0.9,0.1,0.9,0.9,2,1.7,1.1,0.3,2.7,0.5,0.3,1
9,Ricardo Pereira,14,Leicester,28,"D(LR),M(R)",35,3125,6,0.9,43.8,78,0.4,1.2,0,7.34,0,2,7,0,0.7,1.9,4,1.9,1.4,0.1,1,1.5,3.4,1.7,1.2,0.2,3,1.7,0.2,0
10,Paul Pogba,32,Man Utd,28,M(CL),34,3012,9,1.6,59.1,82.8,0.1,4.7,0.2,7.31,1,13,6,0,3,1.7,7,1.7,2,0.1,2.5,2.1,1.3,0.5,1.5,0,1,0.7,0.3,0
11,Fernandinho,167,Man City,36,"D(CR),DMC",27,2382,3,0.8,70.7,87.5,0,2.7,0.2,7.31,2,1,5,0,1,2.6,2,0.7,0.9,0.1,0.4,0.9,2,1.4,1.4,0.1,2.4,0.7,0.1,0
12,Fabian Schär,23,Newcastle,29,D(C),22,2004,1,0.5,41.4,68.1,0.1,5.6,0,7.30,2,4,12,0,1,2.7,6,0.6,0.8,0,0.4,0.5,2.5,2.8,1.2,0.4,5.7,1.1,0.7,0
13,Aaron Wan-Bissaka,162,Crystal Palace,23,"D(R),M(R)",35,3135,3,0.4,33.3,73,0.3,1,0,7.27,0,0,4,1,0.3,1.2,3,1.7,0.5,0.1,1.1,1.2,3.7,2.4,0.7,0.3,3.7,0.3,0.5,0
14,David Silva,167,Man City,35,M(CLR),28,2412,8,2.2,61.1,87.8,0.5,1.2,0.2,7.26,5,6,3,0,1.5,0.6,1,0.9,0.8,0.2,0.9,0.8,0.9,0.7,0.8,0,0.4,0.6,0,0
15,Bernardo Silva,167,Man City,27,"M(CLR),FW",31,2853,7,2,47.4,86.1,0.3,2,0.1,7.26,5,7,3,0,1.7,0.3,4,1.4,0.7,0.1,1,1.2,1.4,0.7,0.9,0,0.7,1.4,0.1,0
16,Leroy Sané,167,Man City,25,"M(CLR),FW",21,1867,10,1.3,27.3,84.4,0.5,0.1,0.1,7.26,10,10,1,0,1.8,0.3,1,1.8,0.5,0.6,1.4,2.3,0.8,0.3,0.3,0,0.1,0.7,0.1,0
17,Felipe Anderson,29,West Ham,28,"M(CLR),FW",36,3054,4,1.8,46.3,76,0.9,2.4,0.3,7.23,0,9,3,0,1.6,0.3,6,2.1,1.4,0.1,1.5,2.7,2.5,1.1,0.8,0,0.3,1.9,0,0
18,Wilfred Ndidi,14,Leicester,24,DMC,37,3299,0,0.6,52.2,79.9,0,2.4,0.1,7.21,1,2,8,0,1.4,3.4,3,0.9,0.6,0.1,0.9,1.5,3.8,2.2,1.2,0.1,2.1,1.3,0.2,0
19,Wilfried Zaha,162,Crystal Palace,28,"AM(LR),FW",34,3041,5,1.6,29.6,77.3,0.3,0.7,0.1,7.21,0,10,8,1,2.1,0.3,6,3.4,3,0.5,4.2,3.6,1.1,0.3,1.3,0,0,0.6,0,0
20,James Maddison,14,Leicester,24,AM(CLR),35,2850,7,2.8,39,83.8,1.9,2.2,0.3,7.20,1,7,3,1,2.3,0.3,3,1.4,2.2,0.1,1.1,1.3,1.3,0.3,0.7,0,0.1,1.2,0.1,0
21,Roberto Firmino,26,Liverpool,30,"M(CLR),FW",31,2620,6,1.3,37.6,80.8,0.1,0.5,0.1,7.20,3,12,0,0,2.2,0.9,4,1.4,0.3,0.2,1.8,2.3,0.9,0.2,1.1,0,0.4,0.8,0,0
22,Luka Milivojevic,162,Crystal Palace,30,DMC,38,3420,2,1.6,52.3,80,1.4,3.4,0,7.19,0,12,10,0,1.5,1.4,2,0.3,1,0,0.5,0.7,2.4,1.9,1.6,0,1.7,1.4,0.4,0
23,Marcos Alonso,15,Chelsea,30,"D(CL),M(L)",31,2761,4,1.1,60.7,85,0.3,1.4,0,7.18,0,2,6,0,1.5,2.1,2,0.5,1.2,0.1,0.9,1,2.4,1.3,0.9,0.2,2.8,0.8,0.1,0
24,Alexandre Lacazette,13,Arsenal,30,"M(LR),FW",27,2507,8,0.9,22,74.2,0.1,0.5,0.1,7.17,8,13,2,0,2.3,1.3,4,1.3,1.5,0.7,1.7,2,1,0.4,1.5,0,0.8,0.7,0,0
25,Gylfi Sigurdsson,31,Everton,32,"M(CLR),FW",36,3134,6,1.9,26.1,76.2,1.3,0.7,0.3,7.16,2,13,3,0,2.3,0.5,6,1,1,0.1,0.8,2.1,1.5,0.7,0.9,0,0.6,0.8,0.1,0
26,Sol Bamba,188,Cardiff,36,"D(C),DMC",28,2477,1,0.1,19.6,69.1,0,1.6,0,7.15,0,4,7,0,0.8,3.4,3,0.5,0.4,0.1,0.4,0.7,2.6,2.9,1.3,0.2,6.3,0.9,1.1,0
27,Idrissa Gueye,31,Everton,32,M(C),32,2826,2,0.5,52.8,84.3,0.1,3.2,0.1,7.14,1,0,6,0,0.6,1,2,0.7,1.2,0,0.9,1,4.3,2.2,1.6,0,1.3,1.2,0.2,0
28,Michael Keane,31,Everton,28,D(CR),33,2970,2,0.3,48.3,80.8,0,3.1,0,7.13,0,1,2,0,0.9,5.8,2,0.2,0.2,0,0.1,0.3,1.2,1.3,0.7,0.8,5.5,0.4,0.7,0
29,Etienne Capoue,27,Watford,33,"D(C),M(CL)",33,2947,3,0.3,53,84.4,0,3.5,0.1,7.13,0,1,14,1,0.5,2,2,1,1.8,0,0.6,0.5,2.8,2.6,1.4,0.1,2.8,1.6,0.4,0
30,Matt Doherty,161,Wolves,29,"D(LR),M(R)",35,3147,5,1,36.8,71.6,0.4,1.4,0.1,7.12,3,4,5,0,1.2,3.8,2,0.5,0.6,0.1,0.6,1.2,1.8,1.6,0.8,0.1,2.2,0.6,0.2,1
31,Willy Boly,161,Wolves,30,D(C),36,3169,0,0.3,47.6,81,0,2.4,0,7.12,0,4,2,1,0.7,3.8,2,0.4,0.4,0.1,0.4,0.3,2.4,2,0.8,0.1,4.8,0.6,0.9,0
32,Andrew Robertson,26,Liverpool,27,"D(L),M(L)",36,3219,11,1.4,66.6,83.2,0.6,2.2,0,7.12,0,0,4,0,0.4,0.7,1,0.8,0.4,0,0.6,0.9,2.2,0.8,0.5,0.5,1.3,0.9,0.2,0
33,James Tarkowski,184,Burnley,28,D(C),35,3087,1,0.2,32.4,69.5,0,3.1,0,7.11,0,3,8,0,0.6,4.8,3,0.2,0.9,0.1,0.3,0.7,2,1.2,1,0.3,6.7,0.6,1.6,0
34,Shane Duffy,211,Brighton,29,D(C),35,3088,1,0.2,37.3,75.2,0,3.1,0,7.11,0,5,4,1,1.1,5.3,6,0.1,0.3,0.1,0.1,0.5,1,1,0.6,0.1,6.9,0.3,1.3,0
35,Troy Deeney,27,Watford,33,FW,28,2548,5,1.3,25.8,60.7,0.1,0.4,0.1,7.11,4,9,4,1,2,6.5,4,0.2,1.1,0.4,1.1,1.9,0.8,0.2,1.3,0,0.9,0.8,0.1,0
36,Joel Matip,26,Liverpool,30,D(C),17,1535,0,0.1,61,86.9,0,2.1,0,7.11,5,1,3,0,0.4,3,2,0.3,0.8,0,0,0.3,1.8,1.5,0.5,0.8,3.5,0.5,0.3,0
37,Kieran Trippier,30,Tottenham,31,"D(R),M(R)",26,2278,3,1.8,57.1,78.9,2,2.6,0.1,7.10,1,1,2,0,0.3,1.1,1,0.3,0.9,0.2,0.5,0.7,2.5,0.9,0.7,0.6,2.3,0.9,0.2,1
38,Pierre-Emerick Aubameyang,13,Arsenal,32,"M(CLR),FW",30,2733,5,0.9,19.2,74,0.3,0.3,0,7.10,6,22,0,0,2.6,0.9,4,0.8,0.6,0.6,0.9,1.7,0.6,0.2,0.4,0,0.5,0.6,0,0
39,Son Heung-Min,30,Tottenham,29,"M(CLR),FW",23,2049,6,1.1,24.3,85.6,0.2,0.4,0.1,7.10,8,12,2,1,2.4,0.1,4,1.5,0.6,0.7,1.4,1.9,0.7,0.3,0.4,0,0.1,0.8,0.1,0
40,Ilkay Gündogan,167,Man City,30,M(C),23,2136,3,1.4,64.4,90.8,0.9,2.4,0.1,7.10,8,6,3,0,1.4,0.8,2,0.6,0.7,0,0.5,0.9,0.6,0.9,0.4,0,0.6,0.8,0.1,0
41,Ryan Fraser,183,Bournemouth,27,"M(CLR),FW",35,3173,14,2.4,31.4,76.9,2,0.7,0.1,7.08,3,7,2,0,1.3,0.3,5,0.6,1.8,0.3,0.7,1.4,0.5,0.6,0.2,0,0.5,0.6,0.2,0
42,Christian Eriksen,30,Tottenham,29,M(CLR),30,2772,12,2.1,53.5,81,0.9,2.3,0.3,7.08,5,8,3,0,2.4,0.4,2,0.5,0.5,0.1,0.8,1.7,1.2,0.4,0.5,0,0.2,1.2,0.1,0
43,David Luiz,15,Chelsea,34,"D(C),DMC",36,3239,2,0.6,72.8,88,0,6,0.3,7.08,0,3,3,0,0.9,2.3,0,0.3,0.8,0,0.1,0.4,1.1,1,0.9,0.7,4,0.2,0.5,0
44,Philip Billing,166,Huddersfield,25,M(C),25,2192,0,0.8,39.8,78.6,0.3,2.9,0,7.08,2,2,7,0,1.6,3.3,3,0.7,1.1,0.1,1,2,2.7,2,1.4,0.2,1.5,0.9,0.6,0
45,Raúl Jiménez,161,Wolves,30,FW,36,3125,7,1.1,27.9,72.8,0.2,0.9,0.1,7.07,2,13,4,0,2.9,2.1,4,0.9,1,0.9,1.8,2.5,0.8,0.7,1.1,0,1,0.4,0.1,0
46,Jannik Vestergaard,18,Southampton,29,D(C),23,2030,0,0.2,36.7,76.9,0,2.3,0.1,7.07,0,0,2,0,0.6,3.7,0,0.4,0.6,0,0.2,0.4,2.3,1.5,0.7,0.9,7.4,0.7,0.9,0
47,João Moutinho,161,Wolves,35,M(C),35,3040,8,2.2,49,84.8,1.7,3.3,0,7.06,3,1,4,0,0.5,0.6,1,0.3,1,0,0.7,0.4,3,1.1,1.4,0,1.1,2.2,0.3,0
48,Willian,15,Chelsea,33,AM(CLR),26,2109,6,2.5,38.4,85.7,1.2,1.2,0.1,7.06,6,3,2,0,1.9,0.3,2,1.2,1,0.3,1.2,1.6,1.1,0.4,0.4,0,0.3,0.5,0,0
49,Shkodran Mustafi,13,Arsenal,29,D(CR),31,2617,0,0.2,56.9,81.9,0,3.2,0.1,7.05,0,2,9,0,0.6,4,2,0.3,0.3,0.1,0.2,0.4,2,1.9,1.4,0.7,5.2,0.3,0.5,0
50,Aymeric Laporte,167,Man City,27,D(CL),34,3057,3,0.4,85.6,92.3,0,4.9,0,7.05,1,3,3,0,0.7,2.2,1,0.1,0.5,0.1,0.1,0.3,1.2,1.1,0.6,0.4,2.7,0.3,0.3,0
51,Salomón Rondón,23,Newcastle,32,FW,30,2609,7,1,23,69.9,0.1,0.3,0.1,7.05,2,11,1,0,2.8,4.6,1,0.6,0.8,0.6,2.4,3.1,0.3,0.2,0.7,0,1.2,0.6,0.1,0
52,Ben Chilwell,14,Leicester,24,"D(L),M(L)",36,3240,4,1.3,46.8,72.3,0.6,1.2,0,7.04,0,0,4,0,0.6,3.1,4,1.4,1.2,0.1,1.3,2,1.5,1.1,0.9,0.3,3.6,0.9,0.2,0
53,Jan Bednarek,18,Southampton,25,D(C),24,2151,1,0.4,32.8,70.5,0,1.7,0.1,7.04,1,0,7,0,0.2,3.2,3,0,0.2,0,0.2,0.2,1.6,2.8,0.9,0.8,6.7,0.6,1.1,0
