,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Harry Kane,30,Tottenham,30," AM(C),FW  ",35,3087,14,1.4,25.9,69.9,0.2,1.9,0.1,7.79,23,1,0,3.9,2.2,13,1.5,1.7,0.4,1.5,1.8,0.6,0.3,0.7,0,1.1,0.5,0.3,0
1,Kevin De Bruyne,167,Man City,32," M(CLR),FW  ",23(2),2001,12,3.2,50.6,81.7,1.6,2.6,0.2,7.65,6,1,0,3.2,0.2,8,1.9,1.2,0,1.3,1.8,1.4,0.4,1.1,0,0.3,1.4,0,0
2,Jack Grealish,24,Aston Villa,28," AM(CL),FW  ",24(2),2184,10,3.1,38.3,83.3,0.7,1.2,0.1,7.56,6,6,0,1.9,1,4,2.5,4.2,0.3,1.5,2.1,1.2,0.5,1.5,0,0.2,0.3,0.1,0
3,Bruno Fernandes,32,Man Utd,29, M(CLR)  ,35(2),3110,12,2.6,57.1,78.3,1.1,3.8,0.2,7.43,18,6,0,3.3,0.4,6,0.6,1.4,0.1,1,1.5,1.5,0.7,1.2,0,0.7,2,0,0
4,Tomás Soucek,29,West Ham,28, M(C)  ,38,3420,1,0.5,42.3,75.5,0,2.2,0,7.36,10,7,1,1.7,6.2,6,0.4,1.1,0.1,0.6,1.1,2.1,1.6,1.8,0.1,2.7,1.3,0.5,1
5,Mason Mount,15,Chelsea,24, M(CLR)  ,32(4),2892,5,2.4,47.3,86.5,1.7,1.6,0,7.33,6,2,0,2.3,0.6,4,1.2,1.2,0.1,1.1,1.6,2.1,0.9,1.4,0,0.3,1.2,0.1,0
6,Sadio Mané,26,Liverpool,31," AM(CLR),FW  ",31(4),2813,7,1.7,28.8,78.7,0.3,0.8,0,7.33,11,3,0,2.7,1,7,2.3,2.2,0.9,1.7,2.9,1.4,0.4,1.5,0,0.3,0.6,0,0
7,Riyad Mahrez,167,Man City,32," AM(CLR),FW  ",23(4),1955,6,1.6,37.2,88.4,0.7,0.9,0,7.31,9,0,0,2.1,0.6,4,1.7,1.1,0.3,1.1,1.7,0.7,0.3,0.5,0,0.1,0.9,0,0
8,João Cancelo,167,Man City,29," D(LR),M(R)  ",27(1),2302,3,1.6,66.2,87.1,0.4,2.4,0.1,7.31,2,5,1,1.3,1.1,2,1.7,0.6,0.1,0.8,1.3,2.4,1.5,1.3,0.3,1,1.4,0.1,0
9,Gareth Bale,30,Tottenham,34," M(CLR),FW  ",10(10),923,2,1.1,18.3,73.2,0.6,1.5,0.1,7.30,11,1,0,1.9,1.2,4,1.4,0.5,0.3,0.4,0.9,0.9,0.4,0.5,0.1,0.7,0.4,0.1,0
10,Ilkay Gündogan,167,Man City,33, M(C)  ,23(5),2031,2,1.5,61.2,91.7,0.3,1.6,0,7.29,13,1,0,1.9,0.4,2,1,0.9,0,0.5,1.1,0.9,0.7,0.3,0,0.3,1,0.1,0
