,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub
0,Kevin De Bruyne,167,Man City,30,", M(CLR),FW",32,2800,20,3.9,54.5,81.5,2.1,3.5,0.4,7.97,3
1,Ricardo Pereira,14,Leicester,28,", D(LR),M(R)",28,2520,2,1,56.1,78.9,0.3,2.1,0.1,7.50,0
2,Adama Traoré,161,Wolves,25,", M(CLR),FW",27,2608,9,1.3,19.2,74.4,1.2,0.2,0.1,7.49,10
3,Riyad Mahrez,167,Man City,30,", AM(CLR)",21,1942,9,1.8,33.2,90.1,0.6,1.7,0.2,7.48,12
4,Sadio Mané,26,Liverpool,29,", AM(CLR),FW",31,2756,7,1.7,31.5,81.6,0.3,1,0.1,7.45,4
5,Mohamed Salah,26,Liverpool,29,", AM(CLR),FW",33,2888,10,1.8,28.8,76.5,0.3,0.4,0.1,7.40,1
6,Raheem Sterling,167,Man City,26,", M(CLR),FW",30,2661,1,1.5,35.4,82.8,0.2,0.3,0.1,7.35,3
7,Marcus Rashford,32,Man Utd,23,", AM(CLR),FW",31,2655,7,1.1,30.4,77.3,0.3,1.2,0.2,7.35,0
8,James Maddison,14,Leicester,24,", AM(CLR)",29,2629,3,2.5,47.5,83,1.9,2.3,0.2,7.34,2
9,Harry Kane,30,Tottenham,28,", AM(C),FW",29,2590,2,0.9,19.1,66.7,0.1,0.8,0.2,7.33,0
0,Virgil van Dijk,26,Liverpool,30,", D(C)",38,3420,1,0.2,85.8,89.1,0,5.4,0.1,7.32,0
1,Anthony Martial,32,Man Utd,25,", AM(LR),FW",31,2640,6,0.9,22.3,80.6,0.1,0.3,0.1,7.31,1
2,Willian,15,Chelsea,33,", AM(CLR)",29,2605,7,2.1,39.9,82.7,1.4,1.8,0.1,7.31,7
3,Michail Antonio,29,West Ham,31,", D(R),M(CLR),FW",19,1773,3,1.1,18.6,68.4,0.4,0.4,0.1,7.29,5
4,Allan Saint-Maximin,23,Newcastle,24,", AM(CLR),FW",23,1874,4,1.3,16.6,79.1,0.3,0.8,0,7.29,3
5,David Silva,167,Man City,35,", M(CLR)",22,1833,10,1.8,54.9,89.3,0.1,1.1,0.1,7.29,5
6,Gabriel Jesus,167,Man City,24,", AM(LR),FW",21,2026,7,0.9,17.9,86.5,0.1,0.6,0,7.26,13
7,Raúl Jiménez,161,Wolves,30,", FW",37,3252,6,1.3,26.1,72.2,0.1,1.2,0.1,7.25,1
8,Son Heung-Min,30,Tottenham,29,", M(CLR),FW",28,2487,10,1.4,26.6,84.7,0.4,0.7,0.2,7.24,2
9,Jack Grealish,24,Aston Villa,26,", AM(CL)",36,3234,6,2.5,38.1,84.8,0.8,2.3,0.1,7.23,0
0,Wilfred Ndidi,14,Leicester,24,", DMC",29,2674,1,0.5,52.2,85.1,0,2.5,0,7.23,3
1,Jamie Vardy,14,Leicester,34,", AM(L),FW",34,3034,5,0.9,12.6,70.6,0.2,0.2,0,7.22,1
2,Trent Alexander-Arnold,26,Liverpool,23,", D(R),M(R)",35,3176,13,2.3,64.2,76.7,2.1,5.1,0,7.20,3
3,Aaron Wan-Bissaka,32,Man Utd,23,", D(R),M(R)",34,3102,4,0.7,47.1,81.3,0.4,1,0,7.19,1
4,Richarlison,31,Everton,24,", AM(CLR),FW",36,3111,3,0.9,21.9,66.6,0.1,0.6,0,7.19,0
5,Willy Boly,161,Wolves,30,", D(C)",22,1980,1,0.3,44.7,80.9,0,1.8,0,7.19,0
6,James Tarkowski,184,Burnley,28,", D(C)",38,3420,2,0.4,35.5,70.8,0,2.8,0,7.19,0
7,Christian Pulisic,15,Chelsea,23,", M(CLR)",19,1727,4,1.2,26.7,79.9,0.2,0.8,0,7.18,6
8,Sergio Agüero,167,Man City,33,", AM(CL),FW",18,1460,3,0.8,14.8,80.5,0,0,0,7.16,6
9,Lucas Digne,31,Everton,28,", D(CL),M(L)",35,3035,7,2.1,39.3,74.2,2.1,1.8,0.1,7.16,0
0,James Ward-Prowse,18,Southampton,26,", M(CR)",38,3420,3,1.6,43.8,80.9,1.5,2.1,0,7.15,0
1,Jordan Henderson,26,Liverpool,31,", D(C),M(CLR)",26,2244,5,0.9,61.9,84.5,0.3,4.2,0.1,7.15,4
