,player_name,team_number,team_name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,sub
0,Kevin De Bruyne,167,Man City,32,2800,13,20,3,0,2.8,81.5,0.5,10,7.97,3
1,Ricardo Pereira,14,Leicester,28,2520,3,2,1,0,0.6,78.9,1.5,2,7.50,0
2,Adama Traoré,161,Wolves,27,2608,4,9,1,0,1.2,74.4,1.2,6,7.49,10
3,Riyad Mahrez,167,Man City,21,1942,11,9,0,0,2.2,90.1,0.3,3,7.48,12
4,Sadio Mané,26,Liverpool,31,2756,18,7,3,0,2.2,81.6,1.2,7,7.45,4
5,Mohamed Salah,26,Liverpool,33,2888,19,10,1,0,3.9,76.5,0.4,6,7.40,1
6,Raheem Sterling,167,Man City,30,2661,20,1,5,0,3,82.8,0.7,1,7.35,3
7,Marcus Rashford,32,Man Utd,31,2655,17,7,3,0,3.1,77.3,0.7,7,7.35,0
8,James Maddison,14,Leicester,29,2629,6,3,4,0,2.4,83,0.2,4,7.34,2
9,Harry Kane,30,Tottenham,29,2590,18,2,4,0,2.8,66.7,2.6,4,7.33,0
0,Virgil van Dijk,26,Liverpool,38,3420,5,1,1,0,0.8,89.1,5,5,7.32,0
1,Anthony Martial,32,Man Utd,31,2640,17,6,1,0,2.5,80.6,0.6,4,7.31,1
2,Willian,15,Chelsea,29,2605,9,7,4,0,2,82.7,0.3,4,7.31,7
3,Michail Antonio,29,West Ham,19,1773,10,3,3,0,2.8,68.4,3.8,2,7.29,5
4,Allan Saint-Maximin,23,Newcastle,23,1874,3,4,0,0,1.8,79.1,0.3,3,7.29,3
5,David Silva,167,Man City,22,1833,6,10,0,0,1.7,89.3,0.3,3,7.29,5
6,Gabriel Jesus,167,Man City,21,2026,14,7,3,0,3,86.5,1.2,2,7.26,13
7,Raúl Jiménez,161,Wolves,37,3252,17,6,3,0,3.1,72.2,2.3,3,7.25,1
8,Son Heung-Min,30,Tottenham,28,2487,11,10,0,2,2.7,84.7,0.2,4,7.24,2
9,Jack Grealish,24,Aston Villa,36,3234,8,6,8,0,2,84.8,0.6,4,7.23,0
0,Wilfred Ndidi,14,Leicester,29,2674,2,1,6,0,0.8,85.1,2.6,4,7.23,3
1,Jamie Vardy,14,Leicester,34,3034,23,5,2,0,2.5,70.6,1.5,4,7.22,1
2,Trent Alexander-Arnold,26,Liverpool,35,3176,4,13,5,0,1.2,76.7,0.4,4,7.20,3
3,Aaron Wan-Bissaka,32,Man Utd,34,3102,0,4,8,0,0.2,81.3,0.7,3,7.19,1
